Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1760548075455,382812,4436
1760548075563,257031,4436
1760548075671,385156,4436
1760548075778,385156,4436
1760548075886,322656,4436
1760548075992,322656,4436
1760548076098,13281,4436
1760548076202,13281,4436
1760548076306,151562,4436
1760548076410,-370312,4436
1760548076516,-370312,4436
1760548076619,-1250781,4436
1760548076720,-1250781,4436
1760548076824,-800781,4436
1760548076928,-800781,4436
1760548077032,-53906,4436
1760548077137,-788281,4436
1760548077241,-788281,4436
1760548077343,-589843,4436
1760548077448,-589843,4436
1760548077553,-867968,4436
1760548077657,-867968,4436
1760548077762,-907031,4436
1760548077866,-1013281,4436
1760548077970,-1013281,4436
1760548078073,-836718,4436
1760548078176,-836718,4436
1760548078280,-862500,4436
1760548078385,-862500,4436
1760548078489,-892968,4436
1760548078591,-1231250,4436
1760548078695,-1231250,4436
1760548078797,-1011718,4436
1760548078901,-1011718,4436
1760548079005,-927343,4436
1760548079108,-927343,4436
1760548079210,-1294531,4436
1760548079312,-1294531,4436
1760548079417,-891406,4436
1760548079520,-1035156,4436
1760548079623,-1035156,4436
1760548079726,-1140625,4436
1760548079830,-1140625,4436
1760548079933,-703906,4436
1760548080035,-703906,4436
1760548080141,-1103906,4436
1760548080247,-889843,4436
1760548080353,-889843,4436
1760548080455,-1299218,4436
1760548080558,-1299218,4436
1760548080662,-557812,4436
1760548080765,-557812,4436
1760548080868,-769531,4436
1760548080970,-1198437,4436
1760548081075,-1198437,4436
1760548081179,-472656,4436
1760548081282,-472656,4436
1760548081386,-874218,4436
1760548081491,-874218,4436
1760548081593,-1057812,4436
1760548081695,-846875,4436
1760548081799,-846875,4436
1760548081902,-1041406,4436
1760548082004,-1041406,4436
1760548082109,-1034375,4436
1760548082213,-1034375,4436
1760548082318,-794531,4436
1760548082423,-871875,4436
1760548082528,-871875,4436
1760548082632,-825781,4436
1760548082734,-825781,4436
1760548082838,-954687,4436
1760548082941,-954687,4436
1760548083046,-836718,4436
1760548083155,-859375,4436
1760548083263,-859375,4436
1760548083365,-598437,4436
1760548083467,-598437,4436
1760548083571,-968750,4436
1760548083676,-968750,4436
1760548083778,-682031,4436
1760548083881,-682031,4436
1760548083995,-1023437,4436
1760548084103,-721093,4436
1760548084209,-721093,4436
1760548084314,-944531,4436
1760548084421,-944531,4436
1760548084523,-884375,4436
1760548084628,-959375,4436
1760548084732,-959375,4436
1760548084835,-1141406,4436
1760548084940,-1141406,4436
1760548085043,-1103125,4436
1760548085145,-1103125,4436
1760548085248,-851562,4436
1760548085350,-585156,4436
1760548085452,-585156,4436
1760548085556,-964062,4436
1760548085666,-964062,4436
1760548085774,-999218,4436
1760548085877,-999218,4436
1760548085979,-1045312,4436
1760548086082,-864843,4436
1760548086188,-864843,4436
1760548086291,-609375,4436
1760548086396,-609375,4436
1760548086499,-736718,4436
1760548086609,-736718,4436
1760548086712,-1257031,4436
1760548086819,-895312,4436
1760548086922,-895312,4436
1760548087029,-636718,4436
1760548087133,-636718,4436
1760548087239,-685156,4436
1760548087342,-685156,4436
1760548087444,-889843,4436
1760548087547,-945312,4436
1760548087649,-945312,4436
1760548087754,-413281,4436
1760548087857,-413281,4436
1760548087962,-880468,4436
1760548088065,-880468,4436
1760548088168,-942187,4436
1760548088271,-942187,4436
1760548088376,-942187,4436
1760548088481,-657031,4436
1760548088588,-657031,4436
1760548088692,-903125,4436
1760548088797,-903125,4436
1760548088900,-640625,4436
1760548089002,-544531,4436
1760548089105,-544531,4436
1760548089221,-753906,4436
1760548089325,-753906,4436
1760548089429,-720312,4436
1760548089532,-720312,4436
1760548089635,-801562,4436
1760548089737,-534375,4436
1760548089840,-534375,4436
1760548089942,-991406,4436
1760548090046,-991406,4436
1760548090148,-1047656,4436
1760548090252,-1047656,4436
1760548090356,-429687,4436
1760548090460,-1108593,4436
1760548090564,-1108593,4436
1760548090667,-707031,4436
1760548090770,-707031,4436
1760548090873,-750781,4436
1760548090975,-750781,4436
1760548091079,-984375,4436
1760548091183,-984375,4436
1760548091293,-965625,4436
1760548091397,-755468,4436
1760548091500,-755468,4436
1760548091604,-946093,4436
1760548091709,-946093,4436
1760548091812,-737500,4436
1760548091916,-737500,4436
1760548092019,-657812,4436
1760548092125,-968750,4436
1760548092228,-968750,4436
1760548092335,-707031,4436
1760548092438,-707031,4436
1760548092543,-476562,4436
1760548092647,-476562,4436
1760548092750,-673437,4436
1760548092853,-653125,4436
1760548092957,-653125,4436
1760548093060,-1035156,4436
1760548093165,-1035156,4436
1760548093270,-941406,4436
1760548093373,-941406,4436
1760548093479,-657031,4436
1760548093582,-733593,4436
1760548093684,-733593,4436
1760548093790,-852343,4436
1760548093893,-852343,4436
1760548093995,-734375,4436
1760548094099,-734375,4436
1760548094204,-832812,4436
1760548094309,-989843,4436
1760548094413,-989843,4436
1760548094516,-544531,4436
1760548094619,-544531,4436
1760548094721,-449218,4436
1760548094824,-449218,4436
1760548094928,-723437,4436
1760548095032,-888281,4436
1760548095136,-888281,4436
1760548095239,-669531,4436
1760548095342,-669531,4436
1760548095446,-840625,4436
1760548095549,-840625,4436
1760548095653,-378125,4436
1760548095757,-378125,4436
1760548095861,-678906,4436
1760548095965,-652343,4436
1760548096068,-652343,4436
1760548096172,-801562,4436
1760548096275,-801562,4436
1760548096379,-910937,4436
1760548096483,-910937,4436
1760548096586,-585937,4436
1760548096690,-537500,4436
1760548096793,-537500,4436
1760548096896,-698437,4436
1760548096998,-698437,4436
1760548097100,-694531,4436
1760548097202,-694531,4436
1760548097304,-542187,4436
1760548097408,-572656,4436
1760548097511,-572656,4436
1760548097615,-728125,4436
1760548097717,-728125,4436
1760548097819,-864062,4436
1760548097922,-864062,4436
1760548098025,-699218,4436
1760548098128,-699218,4436
1760548098230,-665625,4436
1760548098332,-724218,4436
1760548098435,-724218,4436
1760548098538,-718750,4436
1760548098641,-718750,4436
1760548098745,-814062,4436
1760548098847,-814062,4436
1760548098949,-435156,4436
1760548099052,-411718,4436
1760548099155,-411718,4436
1760548099257,-516406,4436
1760548099362,-516406,4436
1760548099465,-979687,4436
1760548099570,-979687,4436
1760548099673,-785156,4436
1760548099776,-785156,4436
1760548099880,-723437,4436
1760548099982,-740625,4436
1760548100086,-740625,4436
1760548100190,-407031,4436
1760548100294,-407031,4436
1760548100399,-321875,4436
1760548100504,-321875,4436
1760548100606,-444531,4436
1760548100709,-630468,4436
1760548100812,-630468,4436
1760548100917,-729687,4436
1760548101022,-729687,4436
1760548101124,-678906,4436
1760548101227,-678906,4436
1760548101330,-376562,4436
1760548101434,-596093,4436
1760548101536,-596093,4436
1760548101642,-803125,4436
1760548101746,-803125,4436
1760548101849,-760156,4436
1760548101951,-760156,4436
1760548102053,-665625,4436
1760548102155,-535156,4436
1760548102258,-535156,4436
1760548102366,-446875,4436
1760548102470,-446875,4436
1760548102575,-553906,4436
1760548102678,-553906,4436
1760548102780,-834375,4436
1760548102885,-439062,4436
1760548102987,-439062,4436
1760548103090,-787500,4436
1760548103194,-787500,4436
1760548103296,-681250,4436
1760548103401,-681250,4436
1760548103504,-542187,4436
1760548103607,-542187,4436
1760548103709,-859375,4436
1760548103811,-824218,4436
1760548103914,-824218,4436
1760548104019,-633593,4436
1760548104121,-633593,4436
1760548104224,-367968,4436
1760548104326,-367968,4436
1760548104430,-484375,4436
1760548104532,-604687,4436
1760548104639,-604687,4436
1760548104743,-447656,4436
1760548104848,-447656,4436
1760548104952,-676562,4436
1760548105057,-676562,4436
1760548105163,-345312,4436
1760548105267,-816406,4436
1760548105372,-816406,4436
1760548105481,-657812,4436
1760548105585,-657812,4436
1760548105690,-461718,4436
1760548105792,-461718,4436
1760548105904,-771875,4436
1760548106013,-822656,4436
1760548106115,-822656,4436
1760548106218,-803125,4436
1760548106322,-803125,4436
1760548106425,-642968,4436
1760548106536,-642968,4436
1760548106640,-371093,4436
1760548106742,-840625,4436
1760548106845,-840625,4436
1760548106947,-714062,4436
1760548107052,-714062,4436
1760548107155,-685156,4436
1760548107258,-685156,4436
1760548107362,-653906,4436
1760548107468,-408593,4436
1760548107574,-408593,4436
1760548107677,-662500,4436
1760548107779,-662500,4436
1760548107884,-865625,4436
1760548107988,-865625,4436
1760548108091,-739843,4436
1760548108195,-794531,4436
1760548108299,-794531,4436
1760548108401,-710156,4436
1760548108507,-710156,4436
1760548108610,-877343,4436
1760548108712,-877343,4436
1760548108814,-765625,4436
1760548108917,-717968,4436
1760548109019,-717968,4436
1760548109125,-310937,4436
1760548109229,-310937,4436
1760548109331,-501562,4436
1760548109434,-501562,4436
1760548109536,-660937,4436
1760548109639,-660937,4436
1760548109749,-492187,4436
1760548109853,-797656,4436
1760548109956,-797656,4436
1760548110061,-999218,4436
1760548110164,-999218,4436
1760548110266,-525000,4436
1760548110372,-525000,4436
1760548110477,-379687,4436
1760548110582,-915625,4436
1760548110686,-915625,4436
1760548110788,-880468,4436
1760548110890,-880468,4436
1760548110994,-875781,4436
1760548111099,-875781,4436
1760548111204,-457812,4436
1760548111308,-659375,4436
1760548111414,-659375,4436
1760548111524,-731250,4436
1760548111627,-731250,4436
1760548111730,-415625,4436
1760548111834,-415625,4436
1760548111936,-551562,4436
1760548112039,-689843,4436
1760548112148,-689843,4436
1760548112253,-652343,4436
1760548112356,-652343,4436
1760548112460,-425781,4436
1760548112564,-425781,4436
1760548112668,-603125,4436
1760548112773,-578906,4436
1760548112876,-578906,4436
1760548112980,-664062,4436
1760548113083,-664062,4436
1760548113187,-681250,4436
1760548113291,-681250,4436
1760548113396,-414843,4436
1760548113499,-859375,4436
1760548113601,-859375,4436
1760548113705,-562500,4436
1760548113808,-562500,4436
1760548113912,-660937,4436
1760548114014,-660937,4436
1760548114121,-627343,4436
1760548114224,-730468,4436
1760548114327,-730468,4436
1760548114429,-554687,4436
1760548114534,-554687,4436
1760548114637,-481250,4436
1760548114739,-481250,4436
1760548114852,-896875,4436
1760548114956,-769531,4436
1760548115064,-769531,4436
1760548115172,-502343,4436
1760548115276,-502343,4436
1760548115379,-656250,4436
1760548115482,-656250,4436
1760548115590,-532031,4436
1760548115692,-854687,4436
1760548115796,-854687,4436
1760548115898,-573437,4436
1760548116000,-573437,4436
1760548116104,-967187,4436
1760548116207,-967187,4436
1760548116311,-878906,4436
1760548116413,-746093,4436
1760548116518,-746093,4436
1760548116620,-542187,4436
1760548116724,-542187,4436
1760548116828,-729687,4436
1760548116934,-729687,4436
1760548117036,-510156,4436
1760548117141,-414843,4436
1760548117244,-414843,4436
1760548117349,-678125,4436
1760548117453,-678125,4436
1760548117559,-715625,4436
1760548117662,-715625,4436
1760548117765,-688281,4436
1760548117868,-688281,4436
1760548117970,-678906,4436
1760548118073,-828906,4436
1760548118175,-828906,4436
1760548118278,-743750,4436
1760548118380,-743750,4436
1760548118485,-539062,4436
1760548118588,-539062,4436
1760548118691,-739062,4436
1760548118794,-678906,4436
1760548118900,-678906,4436
1760548119003,-637500,4436
1760548119105,-637500,4436
1760548119207,-594531,4436
1760548119309,-594531,4436
1760548119415,-417187,4436
1760548119519,-528906,4436
1760548119622,-528906,4436
1760548119724,-729687,4436
1760548119826,-729687,4436
1760548119931,-778906,4436
1760548120039,-778906,4436
1760548120144,-724218,4436
1760548120247,-405468,4436
1760548120350,-405468,4436
1760548120452,-793750,4436
1760548120556,-793750,4436
1760548120660,-803906,4436
1760548120764,-803906,4436
1760548120869,-509375,4436
1760548120973,-509375,4436
1760548121077,-457031,4436
1760548121180,-432812,4436
1760548121285,-432812,4436
1760548121391,-579687,4436
1760548121494,-579687,4436
1760548121596,-746093,4436
1760548121698,-746093,4436
1760548121800,-819531,4436
1760548121905,-671875,4436
1760548122008,-671875,4436
1760548122111,-557812,4436
1760548122215,-557812,4436
1760548122320,-740625,4436
1760548122426,-740625,4436
1760548122531,-888281,4436
1760548122635,-735937,4436
1760548122737,-735937,4436
1760548122841,-517968,4436
1760548122946,-517968,4436
1760548123049,-521875,4436
1760548123153,-521875,4436
1760548123258,-878125,4436
1760548123363,-655468,4436
1760548123466,-655468,4436
1760548123569,-425781,4436
1760548123673,-425781,4436
1760548123775,-767968,4436
1760548123880,-767968,4436
1760548123983,-582031,4436
1760548124086,-368750,4436
1760548124190,-368750,4436
1760548124294,-691406,4436
1760548124398,-691406,4436
1760548124501,-455468,4436
1760548124605,-455468,4436
1760548124708,-383593,4436
1760548124813,-383593,4436
1760548124919,-625781,4436
1760548125024,-676562,4436
1760548125127,-676562,4436
1760548125232,-596093,4436
1760548125335,-596093,4436
1760548125439,-496093,4436
1760548125542,-496093,4436
1760548125647,-757031,4436
1760548125751,-437500,4436
1760548125854,-437500,4436
1760548125960,-439062,4436
1760548126069,-439062,4436
1760548126172,-325000,4436
1760548126275,-596875,4436
1760548126379,-596875,4436
1760548126483,-458593,4436
1760548126586,-458593,4436
1760548126688,-653125,4436
1760548126791,-653125,4436
1760548126894,-575781,4436
1760548126999,-575781,4436
1760548127108,-370312,4436
1760548127213,-553906,4436
1760548127317,-553906,4436
1760548127421,-525000,4436
1760548127531,-525000,4436
1760548127639,-438281,4436
1760548127743,-665625,4436
1760548127846,-665625,4436
1760548127949,-704687,4436
1760548128053,-704687,4436
1760548128160,-554687,4436
1760548128264,-554687,4436
1760548128369,-445312,4436
1760548128478,-443750,4436
1760548128581,-443750,4436
1760548128684,-715625,4436
1760548128787,-715625,4436
1760548128894,-749218,4436
1760548128998,-749218,4436
1760548129102,-623437,4436
1760548129206,-673437,4436
1760548129309,-673437,4436
1760548129411,-423437,4436
1760548129513,-423437,4436
1760548129615,-638281,4436
1760548129717,-638281,4436
1760548129819,-601562,4436
1760548129922,-601562,4436
1760548130026,-388281,4436
1760548130130,-426562,4436
1760548130233,-426562,4436
1760548130339,-490625,4436
1760548130444,-490625,4436
1760548130551,-670312,4436
1760548130654,-670312,4436
1760548130759,-498437,4436
1760548130865,-429687,4436
1760548130967,-429687,4436
1760548131073,-267187,4436
1760548131178,-267187,4436
1760548131283,-521093,4436
1760548131394,-521093,4436
1760548131498,-535156,4436
1760548131604,-686718,4436
1760548131708,-686718,4436
1760548131811,-453906,4436
1760548131914,-453906,4436
1760548132018,-557031,4436
1760548132124,-567968,4436
1760548132227,-567968,4436
1760548132330,-700781,4436
1760548132443,-700781,4436
1760548132548,-759375,4436
1760548132652,-759375,4436
1760548132755,-643750,4436
1760548132860,-617187,4436
1760548132964,-617187,4436
1760548133066,-525000,4436
1760548133169,-525000,4436
1760548133271,-771875,4436
1760548133378,-771875,4436
1760548133484,-451562,4436
1760548133586,-753906,4436
1760548133688,-753906,4436
1760548133791,-717187,4436
1760548133893,-717187,4436
1760548133996,-938281,4436
1760548134099,-938281,4436
1760548134202,-793750,4436
1760548134305,-793750,4436
1760548134407,-567187,4436
1760548134511,-723437,4436
1760548134613,-723437,4436
1760548134716,-641406,4436
1760548134818,-641406,4436
1760548134921,-437500,4436
1760548135023,-437500,4436
1760548135126,-553125,4436
