run Id,cpu_percent,execution_time_sec
0,73,152.154311
1,88.8,321.61023
2,74.4,168.544607
3,73.5,93.484449
4,65.3,32.943197
5,63.4,53.899571
6,76.3,26.253061
7,70.4,72.07305
8,87.8,131.007399
9,89,40.971551
10,74.9,329.330626
11,65.8,54.614837
12,80.6,306.916167
13,77.9,44.397805
14,89.5,114.699665
15,97.7,210.259077
16,85.2,237.10805
17,88.5,64.212782
18,76.5,263.917057
19,96.8,154.803223
20,94,118.552128
21,69.3,26.923547
22,89.9,111.691602
23,96.3,162.938393
24,61,77.383725
25,58.5,71.396187
26,78.5,395.066013
27,65.9,331.438432
28,68.7,357.006642
29,94.2,66.7249
30,57.7,92.817668
31,78.4,109.621591
32,98,399.058314
33,77,300.856828
34,67.5,156.086322
35,85,186.423502
36,69.5,124.072506
37,76.1,158.99618
38,76.8,365.616151
39,82.2,358.61082
40,70.4,165.994423
41,85.4,77.542068
42,94.5,340.807219
43,90.6,77.327208
44,65.1,51.298079
45,71.2,249.835553
46,70.4,375.059612
47,61.8,44.251986
48,61.2,65.519711
49,83.8,333.488432
