run Id,cpu_percent,execution_time_sec
0,78.1,152.855253
1,55.4,75.663042
2,68.5,144.472261
3,75.3,154.219251
4,96.4,267.698367
5,87.3,267.581675
6,86.7,18.07604
7,88.7,272.528094
8,78.6,274.105393
9,90.2,181.934211
10,81.4,176.103542
11,79.2,22.313944
12,84.5,57.887514
13,79.5,68.116566
14,95.2,186.804195
15,62.4,70.451306
16,68.4,101.663988
17,72.7,143.910785
18,73,96.267129
19,93.6,131.454642
20,67.3,43.060348
21,76.7,265.71112
22,78.4,59.373211
23,55.8,26.58584
24,80,226.049444
25,76.1,295.705094
26,74.8,118.413397
27,72.7,69.140365
28,97,220.72744
29,81.6,111.235215
30,68.6,157.837489
31,66.9,174.784209
32,55.5,71.313753
33,78,210.674238
34,92,209.286063
35,78.3,247.576997
36,72.3,98.272449
37,93.6,34.078588
38,80.1,246.546695
39,81.9,82.107963
40,71.6,275.494009
41,93.1,40.753344
42,70.4,14.21702
43,94.6,140.863277
44,87.2,135.850651
45,70.5,100.398427
46,90.9,157.151665
47,71.7,78.082702
48,78.7,185.788867
49,87.4,181.630338
