device,subject,run,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_NOW,Energy trapz (J),Energy simple (J),Avg power (W)
Pixel 6,com-android-settings,0,4436.0,-665053.234246,-356280.044705,-356283.367834,-2950.06738515
Pixel 6,com-android-settings,1,4436.0,-654923.935275,-336755.629128,-336748.519179,-2905.24174829
Pixel 6,com-android-settings,2,4436.0,-643847.152057,-324957.197964,-324959.339883,-2856.20528027
Pixel 6,com-android-settings,3,4436.0,-650415.737497,-345122.682353,-345128.021293,-2885.24398315
Pixel 6,com-android-settings,4,4436.0,-645734.931021,-348489.225908,-348486.630092,-2864.52504501
Pixel 6,com-android-settings,5,4436.0,-646551.098481,-330963.091313,-330966.085803,-2868.12139977
Pixel 6,com-android-settings,6,4436.0,-674082.47672,-346397.503069,-346394.418602,-2990.22773634
Pixel 6,com-android-settings,7,4436.0,-661103.229116,-358218.83395,-358221.226823,-2932.54748738
Pixel 6,com-android-settings,8,4436.0,-665589.509952,-342848.895985,-342847.850812,-2952.64417682
Pixel 6,com-android-settings,9,4436.0,-669634.877558,-360410.207334,-360408.791485,-2970.48689667
Pixel 6,com-android-settings,10,4436.0,-654991.943319,-350560.487941,-350566.050278,-2905.58418473
Pixel 6,com-android-settings,11,4436.0,-648823.975141,-332156.6986,-332160.958133,-2878.1558128
Pixel 6,com-android-settings,12,4436.0,-661647.537654,-345739.660395,-345739.338804,-2935.12741535
Pixel 6,com-android-settings,13,4436.0,-668942.594389,-359093.15261,-359090.407078,-2967.35428594
Pixel 6,com-android-settings,14,4436.0,-654808.054044,-339440.573145,-339439.408263,-2904.63565819
Pixel 6,com-android-settings,15,4436.0,-648749.942241,-342660.661499,-342663.063634,-2877.90443977
Pixel 6,com-android-settings,16,4436.0,-654415.377349,-352171.533032,-352171.925156,-2903.01602756
Pixel 6,com-android-settings,17,4436.0,-667326.981165,-353833.869297,-353839.2232,-2960.16622663
Pixel 6,com-android-settings,18,4436.0,-668732.407964,-369695.117247,-369695.434604,-2966.46984808
Pixel 6,com-android-settings,19,4436.0,-665260.442446,-350132.685909,-350133.854754,-2951.08815523
Pixel 6,com-android-settings,20,4436.0,-661221.756437,-361948.781968,-361948.404244,-2933.14043803
Pixel 6,com-android-settings,21,4436.0,-665279.011493,-332865.790284,-332867.58504,-2951.21701907
Pixel 6,com-android-settings,22,4436.0,-678140.899049,-361948.848892,-361947.112851,-3008.23626865
Pixel 6,com-android-settings,23,4436.0,-651551.357293,-345741.919726,-345740.465335,-2890.25107119
Pixel 6,com-android-settings,24,4436.0,-648141.747579,-352250.443633,-352247.719021,-2875.17037565
Pixel 6,com-android-settings,25,4436.0,-666133.073435,-365210.080156,-365207.017525,-2955.06062405
Pixel 6,com-android-settings,26,4436.0,-663683.660471,-354165.908237,-354164.326886,-2944.12124409
Pixel 6,com-android-settings,27,4436.0,-677007.689994,-342122.717876,-342120.790795,-3003.3223017
Pixel 6,com-android-settings,28,4436.0,-666202.541338,-373054.828118,-373054.139792,-2955.34726229
Pixel 6,com-android-settings,29,4436.0,-667803.127175,-355355.410844,-355360.282399,-2962.42154736
Pixel 6,com-android-settings,30,4436.0,-642534.510499,-355447.503249,-355454.98318,-2850.27768096
Pixel 6,com-android-settings,31,4436.0,-671186.750418,-365588.406225,-365594.297373,-2977.34867013
Pixel 6,com-android-settings,32,4436.0,-653749.149707,-371850.564989,-371849.711685,-2900.07468675
Pixel 6,com-android-settings,33,4436.0,-657079.675582,-370804.944919,-370803.529283,-2914.78031452
Pixel 6,com-android-settings,34,4436.0,-650496.818849,-358142.46763,-358145.338564,-2885.60715766
Pixel 6,com-android-settings,35,4436.0,-666056.53994,-327543.817515,-327543.515622,-2954.58787323
Pixel 6,com-android-settings,36,4436.0,-657224.49296,-374098.118273,-374100.529078,-2915.46547241
Pixel 6,com-android-settings,37,4436.0,-672956.850386,-337778.432905,-337779.461933,-2985.27434658
Pixel 6,com-android-settings,38,4436.0,-664339.069412,-374252.61408,-374252.216103,-2947.05274414
Pixel 6,com-android-settings,39,4436.0,-675474.115639,-358712.595319,-358715.127547,-2996.40729844
Pixel 6,com-android-settings,40,4436.0,-664535.171447,-333007.451813,-333010.882283,-2947.82661876
Pixel 6,com-android-settings,41,4436.0,-658300.7988,-348918.910432,-348923.017295,-2920.24301113
Pixel 6,com-android-settings,42,4436.0,-661729.669933,-369322.010222,-369325.984633,-2935.41710539
Pixel 6,com-android-settings,43,4436.0,-670083.539215,-352386.716,-352387.459356,-2972.44999444
Pixel 6,com-android-settings,44,4436.0,-652251.489669,-350996.120951,-350995.892033,-2893.45925847
Pixel 6,com-android-settings,45,4436.0,-662484.47681,-369808.678769,-369808.945181,-2938.79713395
Pixel 6,com-android-settings,46,4436.0,-647642.774662,-338058.496798,-338058.36745,-2872.92808503
Pixel 6,com-android-settings,47,4436.0,-670874.842698,-356676.321666,-356674.024922,-2975.95060567
Pixel 6,com-android-settings,48,4436.0,-658077.32623,-362785.988608,-362784.238926,-2919.23424997
Pixel 6,com-android-settings,49,4436.0,-678966.859285,-367151.744621,-367149.781673,-3011.90296202
