device,subject,run,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_NOW,Energy trapz (J),Energy simple (J),Avg power (W)
Pixel 6,com-android-settings,0,4436.0,-676277.825264,-387542.616829,-387541.442631,-2999.87969107
Pixel 6,com-android-settings,1,4436.0,-661912.303197,-349657.466678,-349661.377878,-2936.22435866
Pixel 6,com-android-settings,2,4436.0,-672437.40072,-364759.538015,-364762.926691,-2982.88003719
Pixel 6,com-android-settings,3,4436.0,-643440.463812,-334301.84116,-334302.856146,-2854.23681561
Pixel 6,com-android-settings,4,4436.0,-667988.021896,-327744.583575,-327744.143126,-2963.15398254
Pixel 6,com-android-settings,5,4436.0,-667355.702557,-355264.444385,-355262.803936,-2960.43192975
Pixel 6,com-android-settings,6,4436.0,-676630.894093,-366755.341324,-366754.371793,-3001.56541858
Pixel 6,com-android-settings,7,4436.0,-663459.813011,-333396.260706,-333395.452538,-2943.11052191
Pixel 6,com-android-settings,8,4436.0,-655911.530527,-344779.665078,-344778.653484,-2909.6142167
Pixel 6,com-android-settings,9,4436.0,-667827.710706,-349834.289809,-349835.191424,-2962.44594938
Pixel 6,com-android-settings,10,4436.0,-662044.745223,-347282.486408,-347286.62537,-2936.92343217
Pixel 6,com-android-settings,11,4436.0,-679181.120851,-358504.204335,-358501.613387,-3012.84009643
Pixel 6,com-android-settings,12,4436.0,-663123.116713,-360243.081118,-360246.695558,-2941.56034546
Pixel 6,com-android-settings,13,4436.0,-659134.735026,-321695.015398,-321694.953022,-2923.93370974
Pixel 6,com-android-settings,14,4436.0,-653240.420286,-369978.965875,-369979.253499,-2897.75574338
Pixel 6,com-android-settings,15,4436.0,-666237.188371,-362831.256189,-362834.452261,-2955.3687794
Pixel 6,com-android-settings,16,4436.0,-658248.598731,-337003.644121,-337004.80505,-2920.02598539
Pixel 6,com-android-settings,17,4436.0,-656111.056647,-322762.780951,-322763.233403,-2910.4749384
Pixel 6,com-android-settings,18,4436.0,-652574.104311,-366661.149104,-366666.278851,-2894.9347986
Pixel 6,com-android-settings,19,4436.0,-656332.567485,-347524.596978,-347531.122837,-2911.60096919
Pixel 6,com-android-settings,20,4436.0,-669012.53301,-360797.852088,-360801.933329,-2967.69913227
Pixel 6,com-android-settings,21,4436.0,-668012.484834,-353233.927738,-353234.361398,-2963.31627285
Pixel 6,com-android-settings,22,4436.0,-659357.672582,-356388.203957,-356384.926149,-2924.83217628
Pixel 6,com-android-settings,23,4436.0,-661507.7908,-353864.719824,-353865.384333,-2934.35783426
Pixel 6,com-android-settings,24,4436.0,-649791.96497,-367713.081027,-367713.215723,-2882.49087335
Pixel 6,com-android-settings,25,4436.0,-654120.460856,-371345.179221,-371344.602799,-2901.63119738
Pixel 6,com-android-settings,26,4436.0,-653138.724218,-359313.860952,-359312.047543,-2897.34362348
Pixel 6,com-android-settings,27,4436.0,-650528.84164,-341483.257399,-341483.8295,-2885.7052654
Pixel 6,com-android-settings,28,4436.0,-667764.649396,-351578.63263,-351578.45029,-2962.26157635
Pixel 6,com-android-settings,29,4436.0,-667774.866531,-334252.295456,-334251.773392,-2962.25228364
Pixel 6,com-android-settings,30,4436.0,-669909.948964,-345573.111013,-345574.171886,-2971.69918204
Pixel 6,com-android-settings,31,4436.0,-654608.00815,-344782.54208,-344781.306957,-2903.81762035
Pixel 6,com-android-settings,32,4436.0,-647952.576791,-355875.864512,-355875.031535,-2874.27789468
Pixel 6,com-android-settings,33,4436.0,-665318.334184,-337971.264273,-337967.089048,-2951.25433207
Pixel 6,com-android-settings,34,4436.0,-665456.66954,-349570.111858,-349568.526235,-2951.99073897
Pixel 6,com-android-settings,35,4436.0,-651579.111648,-334069.701499,-334063.63076,-2890.39780233
Pixel 6,com-android-settings,36,4436.0,-656100.074592,-326298.92629,-326299.287444,-2910.53512007
Pixel 6,com-android-settings,37,4436.0,-668217.375053,-367351.419469,-367350.782209,-2964.30815136
Pixel 6,com-android-settings,38,4436.0,-680781.293379,-341569.318673,-341566.436443,-3019.97613048
Pixel 6,com-android-settings,39,4436.0,-672472.980034,-330954.698765,-330952.339729,-2983.03459149
