device,subject,run,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_NOW,Energy trapz (J),Energy simple (J),Avg power (W)
Pixel 6,com-android-settings,0,4436.0,-666144.758608,-380307.698641,-380306.254055,-2955.07677869
Pixel 6,com-android-settings,1,4436.0,-656068.556446,-318666.243609,-318667.461178,-2910.27300791
Pixel 6,com-android-settings,2,4436.0,-665270.043336,-347622.804841,-347624.218713,-2951.14146487
Pixel 6,com-android-settings,3,4436.0,-675212.621328,-374546.70891,-374548.603951,-2995.25218497
Pixel 6,com-android-settings,4,4436.0,-664681.709531,-340939.682487,-340940.022526,-2948.43303965
Pixel 6,com-android-settings,5,4436.0,-663237.538698,-374501.400475,-374503.114261,-2942.0649831
Pixel 6,com-android-settings,6,4436.0,-655870.271998,-347960.406928,-347956.742697,-2909.42231328
Pixel 6,com-android-settings,7,4436.0,-661965.205409,-355866.88139,-355861.44117,-2936.5112579
Pixel 6,com-android-settings,8,4436.0,-675707.59644,-363440.339745,-363443.995356,-2997.4473184
Pixel 6,com-android-settings,9,4436.0,-649623.272299,-362643.391884,-362643.525747,-2881.74269247
Pixel 6,com-android-settings,10,4436.0,-661186.725576,-375692.851697,-375693.991114,-2932.94129152
Pixel 6,com-android-settings,11,4436.0,-647191.86518,-351482.547301,-351477.03459,-2870.93760064
Pixel 6,com-android-settings,12,4436.0,-658077.766484,-312010.217569,-312015.441111,-2919.22064262
Pixel 6,com-android-settings,13,4436.0,-666126.108574,-375499.484782,-375497.608924,-2954.97203518
Pixel 6,com-android-settings,14,4436.0,-654480.675055,-346034.031065,-346029.963015,-2903.25181597
Pixel 6,com-android-settings,15,4436.0,-659597.575761,-372147.417144,-372145.683891,-2925.91482292
Pixel 6,com-android-settings,16,4436.0,-647662.503505,-331552.299009,-331550.714651,-2873.00621132
Pixel 6,com-android-settings,17,4436.0,-645049.493871,-353766.478942,-353765.166058,-2861.43430035
Pixel 6,com-android-settings,18,4436.0,-652574.442102,-320387.536143,-320386.260099,-2894.86676872
Pixel 6,com-android-settings,19,4436.0,-679643.264956,-358269.344393,-358265.265601,-3014.9120193
Pixel 6,com-android-settings,20,4436.0,-642668.049654,-354060.600935,-354055.931542,-2850.88997701
Pixel 6,com-android-settings,21,4436.0,-673947.382399,-366840.911843,-366839.064519,-2989.68141962
Pixel 6,com-android-settings,22,4436.0,-656366.562954,-333066.26894,-333067.476116,-2911.63082668
Pixel 6,com-android-settings,23,4436.0,-678528.137839,-365552.147342,-365550.054474,-3009.98677476
Pixel 6,com-android-settings,24,4436.0,-657333.137786,-347820.842169,-347819.491822,-2915.97258965
Pixel 6,com-android-settings,25,4436.0,-664817.043832,-356432.251009,-356432.824984,-2949.13507665
Pixel 6,com-android-settings,26,4436.0,-666245.974471,-354686.181334,-354687.829382,-2955.44131136
Pixel 6,com-android-settings,27,4436.0,-645329.571721,-329318.09412,-329320.938208,-2862.75103319
Pixel 6,com-android-settings,28,4436.0,-651215.54407,-343019.666033,-343014.724336,-2888.88496453
Pixel 6,com-android-settings,29,4436.0,-672241.168841,-336566.690505,-336567.837475,-2982.09183633
Pixel 6,com-android-settings,30,4436.0,-659713.140803,-341332.192233,-341329.62312,-2926.45640342
Pixel 6,com-android-settings,31,4436.0,-647078.969288,-361362.84763,-361359.474936,-2870.40353722
Pixel 6,com-android-settings,32,4436.0,-677935.649677,-353081.167201,-353081.124749,-3007.33245778
Pixel 6,com-android-settings,33,4436.0,-651644.714822,-339735.706328,-339737.383778,-2890.7296152
Pixel 6,com-android-settings,34,4436.0,-659002.218173,-347673.027126,-347671.111509,-2923.32164393
Pixel 6,com-android-settings,35,4436.0,-645237.7952,-348884.523827,-348885.659309,-2862.28310674
Pixel 6,com-android-settings,36,4436.0,-672046.972436,-381133.506659,-381130.984786,-2981.17653545
Pixel 6,com-android-settings,37,4436.0,-640561.793039,-310844.818695,-310850.282912,-2841.51315516
Pixel 6,com-android-settings,38,4436.0,-656657.507625,-352810.771698,-352814.22373,-2912.91611477
Pixel 6,com-android-settings,39,4436.0,-650288.111916,-362620.809859,-362620.300781,-2884.73141642
Pixel 6,com-android-settings,40,4436.0,-672553.781444,-384953.957382,-384951.68069,-2983.4000547
Pixel 6,com-android-settings,41,4436.0,-663073.894274,-360566.231424,-360572.187206,-2941.33605712
Pixel 6,com-android-settings,42,4436.0,-647733.915622,-360804.310668,-360804.324425,-2873.37189396
Pixel 6,com-android-settings,43,4436.0,-670576.478731,-352204.260986,-352198.807827,-2974.64938359
Pixel 6,com-android-settings,44,4436.0,-680390.651788,-353800.808505,-353801.035107,-3018.18434203
Pixel 6,com-android-settings,45,4436.0,-661872.478765,-352028.147088,-352024.750734,-2936.07203747
Pixel 6,com-android-settings,46,4436.0,-671607.347287,-356307.739905,-356310.938658,-2979.25724283
Pixel 6,com-android-settings,47,4436.0,-658398.322194,-368383.255322,-368381.09633,-2920.66535992
Pixel 6,com-android-settings,48,4436.0,-664927.394499,-351503.586405,-351504.271814,-2949.6132672
Pixel 6,com-android-settings,49,4436.0,-667618.057195,-347530.066306,-347533.953137,-2961.59578393
