device,subject,run,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_NOW,Energy trapz (J),Energy simple (J),Avg power (W)
Pixel 6,com-android-settings,50,4436.0,-650504.78998,-351479.506945,-351478.12632,-2885.58209183
Pixel 6,com-android-settings,51,4436.0,-660677.507687,-374711.157713,-374715.551647,-2930.72466494
Pixel 6,com-android-settings,52,4436.0,-662819.046149,-360917.828636,-360915.906276,-2940.15115041
Pixel 6,com-android-settings,53,4436.0,-659690.526688,-330482.118339,-330484.219874,-2926.44074429
Pixel 6,com-android-settings,54,4436.0,-669008.174815,-376387.304348,-376387.47094,-2967.65286277
Pixel 6,com-android-settings,55,4436.0,-648951.359583,-368006.565212,-368005.200635,-2878.69305097
Pixel 6,com-android-settings,56,4436.0,-660351.402277,-361237.630381,-361236.28625,-2929.28568747
Pixel 6,com-android-settings,57,4436.0,-647564.301326,-343939.139788,-343935.49531,-2872.60457592
Pixel 6,com-android-settings,58,4436.0,-661461.027672,-349315.724577,-349318.980351,-2934.35899247
Pixel 6,com-android-settings,59,4436.0,-645390.494267,-370922.028967,-370925.664307,-2862.88344371
