Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1759438407485,-259375,4237
1759438407601,-259375,4237
1759438407705,-232031,4237
1759438407810,-232031,4237
1759438407923,-240625,4237
1759438408027,-185156,4237
1759438408133,-185156,4237
1759438408238,-145312,4237
1759438408346,-145312,4237
1759438408451,-453906,4237
1759438408559,-261718,4237
1759438408664,-261718,4237
1759438408768,-172656,4237
1759438408875,-172656,4237
1759438408980,-246093,4237
1759438409087,-246093,4237
1759438409194,-187500,4237
1759438409301,-214062,4237
1759438409406,-214062,4237
1759438409514,-117187,4237
1759438409619,-117187,4237
1759438409725,-250000,4237
1759438409833,-167968,4237
1759438409938,-167968,4237
1759438410043,-249218,4237
1759438410150,-249218,4237
1759438410255,-171875,4237
1759438410361,-171875,4237
1759438410472,-264062,4237
1759438410579,-181250,4237
1759438410684,-181250,4237
1759438410790,-111718,4237
1759438410899,-111718,4237
1759438411004,-476562,4237
1759438411110,-438281,4237
1759438411214,-438281,4237
1759438411319,-265625,4237
1759438411424,-265625,4237
1759438411533,-193750,4237
1759438411640,-193750,4237
1759438411744,-157031,4237
1759438411848,-140625,4237
1759438411954,-140625,4237
1759438412058,-277343,4237
1759438412162,-277343,4237
1759438412270,-361718,4237
1759438412376,-361718,4237
1759438412483,-240625,4237
1759438412589,-245312,4237
1759438412693,-245312,4237
1759438412814,-253125,4237
1759438412922,-253125,4237
1759438413026,-278906,4237
1759438413131,-185156,4237
1759438413238,-185156,4237
1759438413345,-204687,4237
