Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1760383792148,1770312,3976
1760383792257,1825000,3976
1760383792363,1825000,3976
1760383792469,1788281,3976
1760383792576,1788281,3976
1760383792679,1189062,3976
1760383792786,941406,3976
1760383792889,941406,3976
1760383792992,570312,3976
1760383793094,570312,3976
1760383793196,-667187,3976
1760383793298,-667187,3976
1760383793403,-834375,3976
1760383793508,-834375,3976
1760383793612,744531,3976
1760383793715,373437,3976
1760383793823,373437,3976
1760383793926,-961718,3976
1760383794028,-961718,3976
1760383794132,-633593,3976
1760383794236,-633593,3976
1760383794337,-789062,3976
1760383794447,-510156,3976
1760383794549,-510156,3976
1760383794650,-1075000,3976
1760383794752,-1075000,3976
1760383794854,-971875,3976
1760383794956,-971875,3976
1760383795058,-481250,3976
1760383795163,28906,3976
1760383795270,28906,3976
1760383795372,-415625,3976
1760383795475,-415625,3976
1760383795580,-381250,3976
1760383795686,-381250,3976
1760383795790,-942968,3976
1760383795892,-101562,3976
1760383795994,-101562,3976
1760383796096,-811718,3976
1760383796199,-811718,3976
1760383796301,-26562,3976
1760383796403,-26562,3976
1760383796505,-249218,3976
1760383796608,-249218,3976
1760383796711,-265625,3976
1760383796814,252343,3976
1760383796916,252343,3976
1760383797018,-251562,3976
1760383797122,-251562,3976
1760383797223,-371093,3976
1760383797325,-371093,3976
1760383797429,-85937,3976
1760383797533,-429687,3976
1760383797637,-429687,3976
1760383797738,-396875,3976
1760383797840,-396875,3976
1760383797943,-252343,3976
1760383798048,-252343,3976
1760383798151,-411718,3976
1760383798254,-411718,3976
1760383798356,-35156,3976
1760383798458,-638281,3976
1760383798561,-638281,3976
1760383798663,300000,3976
1760383798765,300000,3976
1760383798868,-210156,3976
1760383798969,-210156,3976
1760383799073,118750,3976
1760383799175,-351562,3976
1760383799277,-351562,3976
1760383799379,-171875,3976
1760383799481,-171875,3976
1760383799585,-59375,3976
1760383799686,-59375,3976
1760383799788,144531,3976
1760383799897,144531,3976
1760383799999,-111718,3976
1760383800102,-96093,3976
1760383800204,-96093,3976
1760383800306,-385937,3976
1760383800408,-385937,3976
1760383800510,-396093,3976
1760383800612,-396093,3976
1760383800715,252343,3976
1760383800818,427343,3976
1760383800920,427343,3976
1760383801025,406250,3976
1760383801126,406250,3976
1760383801231,1856250,3976
1760383801335,1856250,3976
1760383801438,1830468,3976
1760383801544,1830468,3976
1760383801649,1871093,3976
1760383801753,1910937,3976
1760383801858,1910937,3976
1760383801964,1893750,3976
1760383802068,1893750,3976
1760383802173,1904687,3976
1760383802277,1897656,3976
1760383802382,1897656,3976
1760383802489,1872656,3976
1760383802592,1872656,3976
1760383802697,1914843,3976
1760383802802,1914843,3976
1760383802907,1904687,3976
1760383803010,1916406,3976
1760383803114,1916406,3976
1760383803219,1907031,3976
1760383803332,1907031,3976
1760383803437,1908593,3976
1760383803541,1908593,3976
1760383803646,1926562,3976
1760383803750,1885937,3976
1760383803854,1885937,3976
1760383803962,1920312,3976
1760383804068,1920312,3976
1760383804174,1923437,3976
1760383804278,1923437,3976
1760383804384,1850781,3976
1760383804488,1875000,3976
1760383804592,1875000,3976
1760383804696,1940625,3976
1760383804801,1940625,3976
1760383804908,1823437,3976
1760383805010,1823437,3976
1760383805118,1805468,3976
1760383805225,1919531,3976
1760383805330,1919531,3976
1760383805436,1907031,3976
1760383805540,1907031,3976
1760383805646,1921093,3976
1760383805751,1900000,3976
1760383805855,1900000,3976
1760383805962,1907031,3976
1760383806072,1907031,3976
1760383806175,1876562,3976
1760383806281,1876562,3976
1760383806388,1921093,3976
1760383806494,1917187,3976
1760383806598,1917187,3976
1760383806702,1916406,3976
1760383806806,1916406,3976
1760383806910,1906250,3976
1760383807015,1906250,3976
1760383807119,1919531,3976
1760383807222,1919531,3976
1760383807330,1919531,3976
1760383807433,1864843,3976
1760383807538,1864843,3976
1760383807643,1935937,3976
1760383807747,1935937,3976
1760383807851,1916406,3976
1760383807955,1936718,3976
1760383808059,1936718,3976
1760383808163,1925781,3976
1760383808268,1925781,3976
1760383808373,1921093,3976
1760383808478,1921093,3976
1760383808584,1898437,3976
1760383808687,1842968,3976
1760383808792,1842968,3976
1760383808898,1921093,3976
1760383809003,1921093,3976
1760383809107,1914843,3976
1760383809212,1914843,3976
1760383809316,1908593,3976
1760383809420,1900781,3976
1760383809524,1900781,3976
1760383809630,1766406,3976
1760383809734,1766406,3976
1760383809837,1860156,3976
1760383809942,1860156,3976
1760383810049,1914843,3976
1760383810155,1920312,3976
1760383810260,1920312,3976
1760383810365,1869531,3976
1760383810471,1869531,3976
1760383810575,1922656,3976
1760383810681,1917187,3976
1760383810785,1917187,3976
1760383810893,1875781,3976
1760383810998,1875781,3976
1760383811103,1927343,3976
1760383811209,1927343,3976
1760383811313,1939843,3976
1760383811421,1913281,3976
1760383811525,1913281,3976
1760383811630,1928906,3976
1760383811736,1928906,3976
1760383811842,1929687,3976
1760383811946,1929687,3976
1760383812050,1888281,3976
1760383812158,1903906,3976
1760383812262,1903906,3976
1760383812368,1914843,3976
1760383812473,1914843,3976
1760383812579,1910937,3976
1760383812684,1910937,3976
1760383812789,1897656,3976
1760383812894,1927343,3976
1760383812998,1927343,3976
1760383813103,1919531,3976
1760383813209,1919531,3976
1760383813314,1916406,3976
1760383813418,1916406,3976
1760383813525,1817187,3976
1760383813628,1916406,3976
1760383813735,1916406,3976
1760383813839,1928906,3976
1760383813946,1928906,3976
1760383814050,1890625,3976
1760383814154,1929687,3976
1760383814260,1929687,3976
1760383814365,1927343,3976
1760383814475,1927343,3976
1760383814582,1895312,3976
1760383814686,1895312,3976
1760383814792,1925781,3976
1760383814897,1907031,3976
1760383815003,1907031,3976
1760383815108,1932031,3976
1760383815214,1932031,3976
1760383815319,1930468,3976
1760383815423,1930468,3976
1760383815528,1887500,3976
1760383815633,1924218,3976
1760383815737,1924218,3976
1760383815842,1864843,3976
1760383815949,1864843,3976
1760383816056,1914843,3976
1760383816160,1935937,3976
1760383816266,1935937,3976
1760383816373,1926562,3976
1760383816478,1926562,3976
1760383816583,1923437,3976
1760383816686,1923437,3976
1760383816792,1930468,3976
1760383816898,1884375,3976
1760383817002,1884375,3976
1760383817109,1923437,3976
1760383817213,1923437,3976
1760383817318,1930468,3976
1760383817425,1930468,3976
1760383817529,1937500,3976
1760383817633,1942187,3976
1760383817737,1942187,3976
1760383817841,1925781,3976
1760383817946,1925781,3976
1760383818051,1929687,3976
1760383818156,1929687,3976
1760383818262,1914062,3976
1760383818368,1928906,3976
1760383818474,1928906,3976
1760383818578,1919531,3976
1760383818683,1919531,3976
1760383818786,1906250,3976
1760383818892,1906250,3976
1760383818998,1879687,3976
1760383819104,1943750,3976
1760383819210,1943750,3976
1760383819314,1888281,3976
1760383819422,1888281,3976
1760383819527,1922656,3976
1760383819633,1921093,3976
1760383819737,1921093,3976
1760383819842,1933593,3976
1760383819946,1933593,3976
1760383820054,1927343,3976
1760383820159,1927343,3976
1760383820263,1935937,3976
1760383820367,1885937,3976
1760383820472,1885937,3976
1760383820576,1927343,3976
1760383820682,1927343,3976
1760383820787,1875000,3976
1760383820892,1875000,3976
1760383820998,1924218,3976
1760383821102,1923437,3976
1760383821208,1923437,3976
1760383821313,1923437,3976
1760383821418,1923437,3976
1760383821524,1933593,3976
1760383821632,1933593,3976
1760383821737,1878125,3976
1760383821843,1925781,3976
1760383821948,1925781,3976
1760383822054,1916406,3976
1760383822160,1916406,3976
1760383822265,1917968,3976
1760383822369,1924218,3976
1760383822474,1924218,3976
1760383822579,1927343,3976
1760383822683,1927343,3976
1760383822790,1906250,3976
1760383822893,1906250,3976
1760383822997,1929687,3976
1760383823103,1930468,3976
1760383823209,1930468,3976
1760383823314,1919531,3976
1760383823418,1919531,3976
1760383823521,1914062,3976
1760383823625,1914062,3976
1760383823731,1914843,3976
1760383823836,1923437,3976
1760383823942,1923437,3976
1760383824047,1896875,3976
1760383824151,1896875,3976
1760383824256,1867968,3976
1760383824361,1867968,3976
1760383824467,1893750,3976
1760383824572,1910937,3976
1760383824677,1910937,3976
1760383824784,1910156,3976
1760383824889,1910156,3976
1760383824992,1911718,3976
1760383825097,1911718,3976
1760383825205,1919531,3976
1760383825309,1858593,3976
1760383825415,1858593,3976
1760383825518,1924218,3976
1760383825624,1924218,3976
1760383825729,1914843,3976
1760383825834,1914843,3976
1760383825940,1887500,3976
1760383826045,1922656,3976
1760383826149,1922656,3976
1760383826253,1923437,3976
1760383826359,1923437,3976
1760383826462,1885156,3976
1760383826568,1885156,3976
1760383826675,1917968,3976
1760383826779,1939843,3976
1760383826885,1939843,3976
1760383826992,1927343,3976
1760383827098,1927343,3976
1760383827203,1932031,3976
1760383827309,1932812,3976
1760383827413,1932812,3976
1760383827517,1882812,3976
1760383827624,1882812,3976
1760383827726,1867968,3976
1760383827831,1867968,3976
1760383827936,1936718,3976
1760383828041,1925781,3976
1760383828146,1925781,3976
1760383828252,1935156,3976
1760383828361,1935156,3976
1760383828468,1728125,3976
1760383828572,1728125,3976
1760383828676,1889062,3976
1760383828779,1881250,3976
1760383828886,1881250,3976
1760383828997,1924218,3976
1760383829101,1924218,3976
1760383829206,1916406,3976
1760383829311,1914843,3976
1760383829416,1914843,3976
1760383829523,1910937,3976
1760383829629,1910937,3976
1760383829734,1925781,3976
1760383829838,1925781,3976
1760383829943,1925781,3976
1760383830047,1876562,3976
1760383830150,1876562,3976
1760383830254,1919531,3976
1760383830359,1919531,3976
1760383830463,1933593,3976
1760383830569,1933593,3976
1760383830674,1868750,3976
1760383830778,1908593,3976
1760383830882,1908593,3976
1760383830986,1910937,3976
1760383831090,1910937,3976
1760383831197,1898437,3976
1760383831300,1898437,3976
1760383831406,1923437,3976
1760383831512,1928906,3976
1760383831617,1928906,3976
1760383831721,1888281,3976
1760383831826,1888281,3976
1760383831937,1903906,3976
1760383832041,1903906,3976
1760383832145,1881250,3976
1760383832248,1903906,3976
1760383832354,1903906,3976
1760383832458,1876562,3976
1760383832563,1876562,3976
1760383832672,1910937,3976
1760383832777,1910937,3976
1760383832882,1920312,3976
1760383832987,1927343,3976
1760383833092,1927343,3976
1760383833197,1917187,3976
1760383833301,1917187,3976
1760383833404,1903906,3976
1760383833509,1910937,3976
1760383833615,1910937,3976
1760383833719,1876562,3976
1760383833826,1876562,3976
1760383833930,1919531,3976
1760383834035,1919531,3976
1760383834141,1903125,3976
1760383834247,1919531,3976
1760383834351,1919531,3976
1760383834455,1916406,3976
1760383834561,1916406,3976
1760383834665,1926562,3976
1760383834775,1926562,3976
1760383834879,1887500,3976
1760383834984,1921093,3976
1760383835090,1921093,3976
1760383835197,1926562,3976
1760383835304,1926562,3976
1760383835409,1858593,3976
1760383835514,1858593,3976
1760383835623,1903906,3976
1760383835728,1939843,3976
1760383835833,1939843,3976
1760383835940,1907812,3976
1760383836043,1907812,3976
1760383836148,1885156,3976
1760383836252,1903906,3976
1760383836359,1903906,3976
1760383836463,1928906,3976
1760383836569,1928906,3976
1760383836674,1919531,3976
1760383836779,1919531,3976
1760383836884,1917187,3976
1760383836990,1922656,3976
1760383837093,1922656,3976
1760383837199,1878906,3976
1760383837303,1878906,3976
1760383837409,1875000,3976
1760383837515,1875000,3976
1760383837620,1922656,3976
1760383837725,1924218,3976
1760383837828,1924218,3976
1760383837932,1923437,3976
1760383838038,1923437,3976
1760383838143,1924218,3976
