Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1760384966056,1637500,4025
1760384966161,1730468,4025
1760384966266,1730468,4025
1760384966371,1580468,4025
1760384966476,1580468,4025
1760384966579,1474218,4025
1760384966684,1474218,4025
1760384966789,914843,4025
1760384966897,418750,4025
1760384967002,418750,4025
1760384967103,-571093,4025
1760384967205,-571093,4025
1760384967308,932031,4025
1760384967413,932031,4025
1760384967518,477343,4025
1760384967620,-819531,4025
1760384967722,-819531,4025
1760384967824,-897656,4025
1760384967927,-897656,4025
1760384968028,-811718,4025
1760384968131,-811718,4025
1760384968233,-1365625,4025
1760384968338,-685937,4025
1760384968443,-685937,4025
1760384968545,-536718,4025
1760384968647,-536718,4025
1760384968757,-657031,4025
1760384968862,-657031,4025
1760384968969,-936718,4025
1760384969074,-246875,4025
1760384969199,-246875,4025
1760384969306,382812,4025
1760384969408,382812,4025
1760384969510,254687,4025
1760384969612,254687,4025
1760384969715,-201562,4025
1760384969819,-325000,4025
1760384969922,-325000,4025
1760384970027,183593,4025
1760384970130,183593,4025
1760384970231,-392968,4025
1760384970333,-392968,4025
1760384970435,-586718,4025
1760384970538,-408593,4025
1760384970640,-408593,4025
1760384970746,160937,4025
1760384970850,160937,4025
1760384970953,-79687,4025
1760384971059,-79687,4025
1760384971161,-503125,4025
1760384971263,-178906,4025
1760384971365,-178906,4025
1760384971470,33593,4025
1760384971573,33593,4025
1760384971676,-421875,4025
1760384971779,-421875,4025
1760384971881,-313281,4025
1760384971987,-313281,4025
1760384972090,428125,4025
1760384972193,-513281,4025
1760384972295,-513281,4025
1760384972397,202343,4025
1760384972499,202343,4025
1760384972601,248437,4025
1760384972707,248437,4025
1760384972810,-182031,4025
1760384972912,139062,4025
1760384973014,139062,4025
1760384973117,30468,4025
1760384973219,30468,4025
1760384973323,-521093,4025
1760384973426,-521093,4025
1760384973528,-52343,4025
1760384973631,-52343,4025
1760384973733,88281,4025
1760384973836,-224218,4025
1760384973938,-224218,4025
1760384974041,457031,4025
1760384974143,457031,4025
1760384974247,654687,4025
1760384974351,654687,4025
1760384974453,-1562,4025
1760384974555,520312,4025
1760384974660,520312,4025
1760384974764,308593,4025
1760384974867,308593,4025
1760384974969,-135937,4025
1760384975072,-135937,4025
1760384975174,107812,4025
1760384975277,107812,4025
1760384975381,488281,4025
1760384975485,196093,4025
1760384975595,196093,4025
1760384975698,94531,4025
1760384975802,94531,4025
1760384975907,203906,4025
1760384976012,544531,4025
1760384976120,544531,4025
1760384976222,257031,4025
1760384976325,257031,4025
1760384976427,7031,4025
1760384976530,7031,4025
1760384976633,293750,4025
1760384976736,293750,4025
1760384976838,261718,4025
1760384976940,-101562,4025
1760384977045,-101562,4025
1760384977148,401562,4025
1760384977250,401562,4025
1760384977353,553125,4025
1760384977458,553125,4025
1760384977564,68750,4025
1760384977675,342187,4025
1760384977779,342187,4025
1760384977883,494531,4025
1760384977986,494531,4025
1760384978091,103906,4025
1760384978193,103906,4025
1760384978295,154687,4025
1760384978397,-157031,4025
1760384978500,-157031,4025
1760384978602,-79687,4025
1760384978704,-79687,4025
1760384978809,353125,4025
1760384978911,353125,4025
1760384979013,42187,4025
1760384979114,64843,4025
1760384979217,64843,4025
1760384979319,-85156,4025
1760384979421,-85156,4025
1760384979528,295312,4025
1760384979637,295312,4025
1760384979740,119531,4025
1760384979843,119531,4025
1760384979948,-3125,4025
1760384980052,501562,4025
1760384980155,501562,4025
1760384980256,478906,4025
1760384980360,478906,4025
1760384980463,101562,4025
1760384980565,101562,4025
1760384980667,192968,4025
1760384980770,457812,4025
1760384980872,457812,4025
1760384980975,142968,4025
1760384981079,142968,4025
1760384981183,314843,4025
1760384981287,314843,4025
1760384981394,95312,4025
1760384981497,-35156,4025
1760384981602,-35156,4025
1760384981709,448437,4025
1760384981811,448437,4025
1760384981913,200000,4025
1760384982022,200000,4025
1760384982124,346875,4025
1760384982228,366406,4025
1760384982331,366406,4025
1760384982433,346875,4025
1760384982537,346875,4025
1760384982641,78906,4025
1760384982745,78906,4025
1760384982847,144531,4025
1760384982954,372656,4025
1760384983057,372656,4025
1760384983161,185156,4025
1760384983264,185156,4025
1760384983371,299218,4025
1760384983484,299218,4025
1760384983591,150000,4025
1760384983695,491406,4025
1760384983804,491406,4025
1760384983912,567187,4025
1760384984017,567187,4025
1760384984120,17968,4025
1760384984223,17968,4025
1760384984325,395312,4025
1760384984430,720312,4025
1760384984537,720312,4025
1760384984641,241406,4025
1760384984746,241406,4025
1760384984849,148437,4025
1760384984953,148437,4025
1760384985055,396875,4025
1760384985157,591406,4025
1760384985261,591406,4025
1760384985364,-14843,4025
1760384985467,-14843,4025
1760384985569,203906,4025
1760384985673,203906,4025
1760384985776,11718,4025
1760384985879,159375,4025
1760384985982,159375,4025
1760384986086,357031,4025
1760384986188,357031,4025
1760384986290,489843,4025
1760384986392,489843,4025
1760384986495,152343,4025
1760384986597,152343,4025
1760384986699,187500,4025
1760384986803,251562,4025
1760384986906,251562,4025
1760384987015,149218,4025
1760384987124,149218,4025
1760384987235,129687,4025
1760384987348,284375,4025
1760384987451,284375,4025
1760384987561,482812,4025
1760384987668,482812,4025
1760384987774,369531,4025
1760384987877,369531,4025
1760384987980,663281,4025
1760384988085,118750,4025
1760384988189,118750,4025
1760384988292,434375,4025
1760384988398,434375,4025
1760384988500,350000,4025
1760384988603,350000,4025
1760384988705,350000,4025
1760384988808,260156,4025
1760384988910,260156,4025
1760384989012,100781,4025
1760384989115,100781,4025
1760384989221,257812,4025
1760384989326,257812,4025
1760384989429,62500,4025
1760384989532,674218,4025
1760384989634,674218,4025
1760384989736,357812,4025
1760384989841,357812,4025
1760384989944,470312,4025
1760384990048,470312,4025
1760384990150,282812,4025
1760384990252,282812,4025
1760384990354,628125,4025
1760384990462,1710937,4025
1760384990567,1710937,4025
1760384990672,1859375,4025
1760384990777,1859375,4025
1760384990880,1875000,4025
