Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1759438628903,-325000,4234
1759438629008,-325000,4234
1759438629112,-589062,4234
1759438629218,-589062,4234
1759438629328,-364062,4234
1759438629431,-364062,4234
1759438629536,-223437,4234
1759438629641,-371093,4234
1759438629745,-371093,4234
1759438629850,-326562,4234
1759438629957,-326562,4234
1759438630063,-296875,4234
1759438630171,-296875,4234
1759438630275,-201562,4234
1759438630381,-214062,4234
1759438630492,-214062,4234
1759438630599,-320312,4234
1759438630706,-320312,4234
1759438630811,-370312,4234
1759438630916,-432031,4234
1759438631021,-432031,4234
1759438631126,-239062,4234
1759438631232,-239062,4234
1759438631337,-222656,4234
1759438631442,-222656,4234
1759438631546,-434375,4234
1759438631650,-172656,4234
1759438631760,-172656,4234
1759438631888,-286718,4234
1759438631994,-286718,4234
1759438632099,-181250,4234
1759438632207,-243750,4234
1759438632312,-243750,4234
1759438632417,-259375,4234
1759438632523,-259375,4234
1759438632627,-361718,4234
1759438632732,-348437,4234
1759438632838,-348437,4234
1759438632942,-225781,4234
1759438633047,-225781,4234
1759438633154,-405468,4234
1759438633259,-405468,4234
1759438633363,-264062,4234
1759438633467,-269531,4234
1759438633572,-269531,4234
1759438633679,-222656,4234
1759438633784,-222656,4234
1759438633888,-307031,4234
1759438633993,-307031,4234
1759438634099,-585156,4234
1759438634203,-235156,4234
1759438634310,-235156,4234
1759438634416,-349218,4234
1759438634522,-349218,4234
1759438634628,-339843,4234
1759438634734,-339843,4234
