input_size_kb,memory_usage_mb,output_size_kb,model,prompt_size
0.0947265625,1215.003031,5.597292444,llama-1b,large
0.02734375,1350.521073,2.901651016,llama-1b,small
0.0947265625,1158.259843,3.737230084,llama-1b,large
0.0947265625,1289.13371,5.907977161,llama-1b,large
0.0947265625,1296.345551,6.200170456,llama-1b,large
0.0947265625,1294.805048,2.122557843,llama-1b,large
0.02734375,1314.092012,0.998462485,llama-1b,small
0.0947265625,1241.948759,1.9220052,llama-1b,large
0.0947265625,1275.528504,1.807762495,llama-1b,large
0.0947265625,1183.634266,1.49344362,llama-1b,large
0.0947265625,1338.192796,6.141107525,llama-1b,large
0.02734375,1194.944272,1.4627289,llama-1b,small
0.02734375,1235.664896,3.234568138,llama-1b,small
0.02734375,1320.371023,0.456161479,llama-1b,small
0.0947265625,1146.236378,5.126177926,llama-1b,large
0.02734375,1345.089044,2.445199938,llama-1b,small
0.0947265625,1166.878494,6.238690448,llama-1b,large
0.0947265625,1296.22622,4.898149102,llama-1b,large
0.02734375,1310.097743,3.422973297,llama-1b,small
0.0947265625,1215.641246,7.099898239,llama-1b,large
0.02734375,1243.918264,0.378983221,llama-1b,small
0.0947265625,1220.02557,7.396519107,llama-1b,large
0.02734375,1308.616373,2.78774654,llama-1b,small
0.02734375,1203.6596,1.336808946,llama-1b,small
0.0947265625,1318.248825,3.993209336,llama-1b,large
0.0947265625,1282.83198,7.62963467,llama-1b,large
0.0947265625,1210.048301,1.10577479,llama-1b,large
0.02734375,1149.412592,1.158504361,llama-1b,small
0.0947265625,1162.669153,7.659962546,llama-1b,large
0.0947265625,1372.996325,1.737752527,llama-1b,large
0.0947265625,1276.281792,3.498201826,llama-1b,large
0.0947265625,1300.173692,2.392944973,llama-1b,large
0.02734375,1279.56809,1.113569642,llama-1b,small
0.0947265625,1191.884178,7.011717398,llama-1b,large
0.0947265625,1156.762174,4.533569188,llama-1b,large
0.0947265625,1248.413973,3.425669176,llama-1b,large
0.02734375,1383.757107,0.529566741,llama-1b,small
0.02734375,1318.537578,2.193524847,llama-1b,small
0.0947265625,1310.199302,1.56804425,llama-1b,large
0.02734375,1349.709103,3.185391653,llama-1b,small
0.0947265625,1205.147263,1.43768407,llama-1b,large
0.02734375,1360.4509,0.493602675,llama-1b,small
0.02734375,1202.038431,2.511317884,llama-1b,small
0.0947265625,1247.5601,1.126868287,llama-1b,large
0.0947265625,1200.710746,1.822859101,llama-1b,large
0.0947265625,1183.856612,1.584880363,llama-1b,large
0.0947265625,1313.304639,3.3271931,llama-1b,large
0.02734375,1212.629636,1.075669013,llama-1b,small
0.0947265625,1186.408395,4.500789265,llama-1b,large
0.0947265625,1287.982736,2.771710774,llama-1b,large
