input_size_kb,memory_usage_mb,output_size_kb,model,prompt_size
0.02734375,643.613202,2.171552788,gemma-1b,small
0.02734375,706.901227,0.473866106,gemma-1b,small
0.02734375,682.866661,0.443603202,gemma-1b,small
0.02734375,668.697789,3.375805032,gemma-1b,small
0.02734375,671.105179,0.416054886,gemma-1b,small
0.02734375,665.571813,1.959039914,gemma-1b,small
0.02734375,687.480651,2.331630473,gemma-1b,small
0.02734375,681.948045,0.943516373,gemma-1b,small
0.0947265625,734.404328,7.039579543,gemma-1b,large
0.02734375,769.20382,0.58012087,gemma-1b,small
0.0947265625,687.907072,4.130417784,gemma-1b,large
0.02734375,650.044599,1.974038478,gemma-1b,small
0.0947265625,687.796424,5.868270447,gemma-1b,large
0.02734375,762.823225,2.438880895,gemma-1b,small
0.0947265625,697.240128,1.420996398,gemma-1b,large
0.02734375,678.338137,2.386437842,gemma-1b,small
0.0947265625,752.331223,4.183178989,gemma-1b,large
0.02734375,658.381231,2.431744811,gemma-1b,small
0.0947265625,708.388206,2.623629673,gemma-1b,large
0.02734375,744.816449,2.555712305,gemma-1b,small
0.0947265625,685.554695,7.043335547,gemma-1b,large
0.0947265625,662.607734,5.276866922,gemma-1b,large
0.0947265625,725.185815,7.958975529,gemma-1b,large
0.02734375,724.559924,2.814757369,gemma-1b,small
0.0947265625,646.669231,5.367015273,gemma-1b,large
0.0947265625,694.30503,7.076995781,gemma-1b,large
0.02734375,652.704292,0.250411526,gemma-1b,small
0.02734375,682.163495,0.382569873,gemma-1b,small
0.02734375,750.074934,0.848510223,gemma-1b,small
0.02734375,688.158956,2.093577437,gemma-1b,small
0.0947265625,639.538834,5.432059629,gemma-1b,large
0.02734375,685.669267,3.091213973,gemma-1b,small
0.02734375,748.790155,1.895209224,gemma-1b,small
0.0947265625,768.729059,1.955078268,gemma-1b,large
0.0947265625,651.071205,6.782473412,gemma-1b,large
0.0947265625,760.953782,5.826687257,gemma-1b,large
0.0947265625,760.418326,1.421871732,gemma-1b,large
0.0947265625,700.067257,2.797435974,gemma-1b,large
0.02734375,740.630334,2.049504474,gemma-1b,small
0.02734375,717.093662,2.549104759,gemma-1b,small
