device,subject,run,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_NOW,Energy trapz (J),Energy simple (J),Avg power (W)
Pixel 6,com-android-settings,0,4436.0,-675529.300484,-346197.174592,-346196.762944,-2996.69336588
Pixel 6,com-android-settings,1,4436.0,-664223.068854,-343519.664757,-343522.216118,-2946.4633139
Pixel 6,com-android-settings,2,4436.0,-661769.32651,-338373.076116,-338370.524318,-2935.61148101
Pixel 6,com-android-settings,3,4436.0,-664424.287851,-339375.368485,-339379.545411,-2947.39817522
Pixel 6,com-android-settings,4,4436.0,-674484.85976,-357500.249066,-357505.120803,-2992.05446417
Pixel 6,com-android-settings,5,4436.0,-650608.306128,-353443.669395,-353443.764647,-2886.03379582
Pixel 6,com-android-settings,6,4436.0,-663049.195078,-345891.348295,-345894.057569,-2941.33726179
Pixel 6,com-android-settings,7,4436.0,-667107.974656,-361766.684283,-361762.728706,-2959.23146688
Pixel 6,com-android-settings,8,4436.0,-667489.319568,-345924.084765,-345920.099309,-2960.98638007
Pixel 6,com-android-settings,9,4436.0,-667561.327207,-351723.88194,-351722.214271,-2961.32126864
Pixel 6,com-android-settings,10,4436.0,-668018.379358,-355774.341777,-355769.001164,-2963.28662283
Pixel 6,com-android-settings,11,4436.0,-662151.211145,-380608.03917,-380607.983902,-2937.28496948
Pixel 6,com-android-settings,12,4436.0,-661770.539921,-342332.545915,-342330.786483,-2935.57658379
Pixel 6,com-android-settings,13,4436.0,-666127.268403,-332891.749329,-332889.793156,-2954.92001767
Pixel 6,com-android-settings,14,4436.0,-644162.481697,-299844.990094,-299844.987684,-2857.44199715
Pixel 6,com-android-settings,15,4436.0,-645775.681516,-344683.28995,-344682.205175,-2864.66079744
Pixel 6,com-android-settings,16,4436.0,-664548.302755,-342129.591259,-342126.422571,-2947.90644999
Pixel 6,com-android-settings,17,4436.0,-675795.874317,-360185.017452,-360180.950819,-2997.77643752
Pixel 6,com-android-settings,18,4436.0,-661482.565123,-366752.242279,-366758.211269,-2934.26713951
Pixel 6,com-android-settings,19,4436.0,-665665.997687,-341965.901036,-341968.739704,-2952.8411089
