device,subject,run,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_NOW,Energy trapz (J),Energy simple (J),Avg power (W)
Pixel 6,com-android-settings,0,4436.0,-664622.395309,-343391.868735,-343390.159149,-2948.21799968
Pixel 6,com-android-settings,1,4436.0,-650514.782599,-363730.40479,-363729.110895,-2885.66305774
Pixel 6,com-android-settings,2,4436.0,-646131.235092,-361527.763788,-361527.270865,-2866.27916572
Pixel 6,com-android-settings,3,4436.0,-647658.636377,-349349.26395,-349349.324083,-2873.0457532
Pixel 6,com-android-settings,4,4436.0,-664482.025997,-331235.040033,-331236.265139,-2947.57788828
Pixel 6,com-android-settings,5,4436.0,-664690.806648,-328683.899237,-328687.591358,-2948.60614355
Pixel 6,com-android-settings,6,4436.0,-675792.207991,-353348.128716,-353348.487256,-2997.76426347
Pixel 6,com-android-settings,7,4436.0,-668718.261358,-374448.158674,-374446.42501,-2966.53315266
Pixel 6,com-android-settings,8,4436.0,-675369.404088,-366911.135425,-366909.562143,-2995.91502186
Pixel 6,com-android-settings,9,4436.0,-652707.530691,-374553.209872,-374551.090842,-2895.35525835
Pixel 6,com-android-settings,10,4436.0,-677010.767113,-359416.733198,-359415.158968,-3003.16702437
Pixel 6,com-android-settings,11,4436.0,-652186.316141,-367468.911882,-367466.305115,-2893.07703095
Pixel 6,com-android-settings,12,4436.0,-660715.812928,-338945.16107,-338943.749821,-2930.98361353
Pixel 6,com-android-settings,13,4436.0,-645885.40664,-332407.389254,-332405.892081,-2865.14072452
Pixel 6,com-android-settings,14,4436.0,-675395.365317,-358812.45332,-358810.847894,-2996.0879902
Pixel 6,com-android-settings,15,4436.0,-662695.464382,-344259.420705,-344256.424638,-2939.68126575
Pixel 6,com-android-settings,16,4436.0,-664767.944552,-365927.568139,-365928.700673,-2948.90665666
Pixel 6,com-android-settings,17,4436.0,-661676.752703,-345997.209465,-345997.922605,-2935.26191257
Pixel 6,com-android-settings,18,4436.0,-667546.423938,-341981.798487,-341983.296406,-2961.17362118
Pixel 6,com-android-settings,19,4436.0,-657958.555988,-357098.784468,-357100.122084,-2918.6945023
Pixel 6,com-android-settings,20,4436.0,-665925.325014,-370959.754122,-370960.672296,-2954.04361814
Pixel 6,com-android-settings,21,4436.0,-665898.84005,-367825.709806,-367824.392213,-2953.87620828
Pixel 6,com-android-settings,22,4436.0,-670483.543564,-349405.702817,-349403.547371,-2974.27769619
Pixel 6,com-android-settings,23,4436.0,-663852.150695,-339811.426265,-339812.963807,-2944.87313178
Pixel 6,com-android-settings,24,4436.0,-662418.781676,-359857.288357,-359859.416585,-2938.539108
Pixel 6,com-android-settings,25,4436.0,-662551.334214,-327523.608415,-327522.687056,-2939.15930804
Pixel 6,com-android-settings,26,4436.0,-667989.125247,-352396.561773,-352395.039821,-2963.15865718
Pixel 6,com-android-settings,27,4436.0,-646744.453199,-325217.246494,-325218.11798,-2869.00849699
Pixel 6,com-android-settings,28,4436.0,-669788.301917,-357300.564325,-357304.014083,-2971.11621063
Pixel 6,com-android-settings,29,4436.0,-666361.049868,-330512.726549,-330517.535218,-2955.92945143
Pixel 6,com-android-settings,30,4436.0,-645444.427503,-322069.033527,-322068.252624,-2863.17096393
Pixel 6,com-android-settings,31,4436.0,-662304.155595,-360688.001775,-360689.104571,-2937.89649638
Pixel 6,com-android-settings,32,4436.0,-679106.355692,-355508.637144,-355508.151898,-3012.56400588
Pixel 6,com-android-settings,33,4436.0,-665511.789357,-373443.672095,-373444.896798,-2952.24343437
Pixel 6,com-android-settings,34,4436.0,-686767.382474,-351049.862911,-351048.95591,-3046.50829562
Pixel 6,com-android-settings,35,4436.0,-662073.710723,-363586.019748,-363589.890801,-2936.90122945
Pixel 6,com-android-settings,36,4436.0,-660179.31656,-333531.520773,-333534.596767,-2928.50584846
Pixel 6,com-android-settings,37,4436.0,-669978.763491,-357869.629216,-357877.064373,-2972.00654807
Pixel 6,com-android-settings,38,4436.0,-666396.306442,-370403.860157,-370398.971311,-2956.14872121
Pixel 6,com-android-settings,39,4436.0,-667247.149038,-367146.679648,-367140.606112,-2959.83035875
