run Id,cpu_percent,execution_time_sec
0,83.2,52.055135
1,79,116.913076
2,81,284.14793
3,88,86.348679
4,88,229.727791
5,67.5,239.231229
6,81.2,32.4176
7,71.7,52.341965
8,73,108.070165
9,72.9,281.68691
10,82.4,142.32718
11,67.6,33.252055
12,69.5,216.139817
13,88.1,173.669443
14,77.6,93.764735
15,77.3,139.033303
16,74,197.566864
17,83.4,269.02417
18,83.2,187.635723
19,95,251.743064
20,75.8,249.636782
21,69.8,168.529029
22,65.8,28.801539
23,57.8,30.549793
24,61.3,53.705067
25,83.7,215.862893
26,60.9,97.630758
27,90.9,90.154401
28,55.8,80.561028
29,93.9,52.920838
30,68.7,221.6639
31,87.7,87.024173
32,73.7,232.393789
33,88.1,27.022336
34,93.8,149.933791
35,86.1,87.873862
36,66.1,82.249801
37,95,201.970802
38,87.1,99.756935
39,86.7,142.246366
40,79.2,219.382138
41,84.4,216.190076
42,91.2,225.465787
43,82.7,197.699127
44,85.5,15.426545
45,69.9,94.868895
46,74.3,85.764277
47,56.3,89.368348
48,83.3,46.252282
49,85.5,23.088178
50,86.8,128.244709
51,72.2,136.567556
52,87,286.641018
53,91.5,243.020032
54,87.1,46.504235
55,60.7,44.960245
56,66.1,93.075061
57,92.3,204.947128
58,69.2,71.31149
59,86.8,35.931251
