device,subject,run,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_NOW,Energy trapz (J),Energy simple (J),Avg power (W)
Pixel 6,com-android-settings,0,4436.0,-657905.64005,-344807.910453,-344809.386146,-2918.52050724
Pixel 6,com-android-settings,1,4436.0,-656140.472952,-319885.081366,-319882.535501,-2910.62139497
Pixel 6,com-android-settings,2,4436.0,-665515.841733,-373858.67147,-373854.907882,-2952.21128585
Pixel 6,com-android-settings,3,4436.0,-671338.347307,-356048.200683,-356048.801479,-2978.10861378
Pixel 6,com-android-settings,4,4436.0,-661569.480566,-361133.142402,-361129.046691,-2934.74827999
Pixel 6,com-android-settings,5,4436.0,-672462.896055,-360886.660434,-360890.003136,-2983.02040129
Pixel 6,com-android-settings,6,4436.0,-658681.515309,-357511.217636,-357514.198911,-2921.97286187
Pixel 6,com-android-settings,7,4436.0,-660746.260956,-377027.465809,-377028.959122,-2931.09436058
Pixel 6,com-android-settings,8,4436.0,-671636.922311,-381137.279866,-381137.301787,-2979.43893454
Pixel 6,com-android-settings,9,4436.0,-658923.826071,-340034.279397,-340030.645379,-2923.00671906
Pixel 6,com-android-settings,10,4436.0,-670530.446197,-334729.846753,-334730.718053,-2974.51503449
Pixel 6,com-android-settings,11,4436.0,-656869.591017,-334909.547143,-334907.389789,-2913.85445024
Pixel 6,com-android-settings,12,4436.0,-654639.224699,-342950.772528,-342950.864459,-2904.07091688
Pixel 6,com-android-settings,13,4436.0,-659269.295855,-384150.852176,-384149.116227,-2924.51955855
Pixel 6,com-android-settings,14,4436.0,-647661.412826,-325497.656803,-325501.756595,-2873.02044263
Pixel 6,com-android-settings,15,4436.0,-661963.112501,-323983.379689,-323983.5033,-2936.50694681
Pixel 6,com-android-settings,16,4436.0,-681371.272764,-379859.162625,-379864.211699,-3022.52426999
Pixel 6,com-android-settings,17,4436.0,-652949.118211,-331295.789273,-331291.727918,-2896.56055087
Pixel 6,com-android-settings,18,4436.0,-644297.895325,-327026.854436,-327022.631034,-2858.14304189
Pixel 6,com-android-settings,19,4436.0,-642771.543742,-356323.389221,-356317.967881,-2851.32048414
Pixel 6,com-android-settings,20,4436.0,-652824.6399,-347234.685536,-347240.735445,-2895.9749016
Pixel 6,com-android-settings,21,4436.0,-655250.75696,-339507.256032,-339509.626923,-2906.59783205
Pixel 6,com-android-settings,22,4436.0,-661546.822014,-354639.486748,-354638.878723,-2934.62931099
Pixel 6,com-android-settings,23,4436.0,-646411.664086,-364612.63551,-364610.477453,-2867.46026269
Pixel 6,com-android-settings,24,4436.0,-647304.069986,-358159.983118,-358156.353039,-2871.44881773
Pixel 6,com-android-settings,25,4436.0,-643138.860356,-338819.754558,-338820.850933,-2852.96678284
Pixel 6,com-android-settings,26,4436.0,-662600.206662,-347711.207513,-347711.738205,-2939.33117887
Pixel 6,com-android-settings,27,4436.0,-657189.319905,-356819.860623,-356819.234669,-2915.31299054
Pixel 6,com-android-settings,28,4436.0,-662184.702876,-362720.648829,-362720.431487,-2937.3526559
Pixel 6,com-android-settings,29,4436.0,-674275.648247,-358301.771431,-358299.613446,-2991.07447004
Pixel 6,com-android-settings,30,4436.0,-661482.786164,-337208.846502,-337204.527744,-2934.28134144
Pixel 6,com-android-settings,31,4436.0,-656004.469232,-335931.689826,-335936.076284,-2910.00712202
Pixel 6,com-android-settings,32,4436.0,-646179.899742,-328541.823365,-328544.475216,-2866.45684893
Pixel 6,com-android-settings,33,4436.0,-647172.789799,-354528.046906,-354526.940378,-2870.85444518
Pixel 6,com-android-settings,34,4436.0,-662629.931305,-327141.523624,-327140.902043,-2939.45823112
