run Id,cpu_percent,execution_time_sec
0,79.7,196.615467
1,92.7,83.212898
2,78.7,75.909052
3,70.5,326.649413
4,61.2,100.662478
5,91.6,58.970905
6,81.1,102.122889
7,95.2,152.970303
8,94,343.279286
9,73.7,79.408196
10,76.6,98.025932
11,78.9,369.948079
12,84.7,213.588289
13,78.5,127.10818
14,65.7,195.229661
15,85.7,364.629592
16,90.4,112.41399
17,65.9,182.152205
18,68.7,81.425299
19,63.2,35.022211
20,56,106.360382
21,85.5,132.807769
22,87.9,196.200638
23,95.3,158.309217
24,80.4,71.698465
25,71.9,92.446142
26,66.8,114.587597
27,62.5,96.85637
28,70.1,170.939877
29,68.4,93.068367
30,74.5,292.739537
31,70.9,43.792596
32,94.1,364.116188
33,64.3,19.419785
34,89.7,156.424147
35,84.3,99.688921
36,67.9,234.3669
37,82.9,50.686871
38,63.8,86.74217
39,93.2,105.5234
40,65,66.389621
41,61.5,98.455003
42,80,266.829275
43,93.4,356.473832
44,69.6,353.780466
45,66.9,112.061601
46,83.3,102.886399
47,96,343.659306
48,81.5,113.367123
49,72.9,147.84359
50,77.7,310.301239
51,89,258.737569
52,66,302.466711
53,82.5,22.122891
54,76.7,321.332853
55,58.4,36.828057
56,73.8,294.761694
57,70,241.053744
58,92.4,231.211388
59,80.9,285.87418
