device,subject,run,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_NOW,Energy trapz (J),Energy simple (J),Avg power (W)
Pixel 6,com-android-settings,0,4436.0,-648405.702892,-333346.204175,-333349.600052,-2876.38427468
Pixel 6,com-android-settings,1,4436.0,-667996.814839,-354026.348386,-354024.5794,-2963.11741995
Pixel 6,com-android-settings,2,4436.0,-665009.357514,-338722.956204,-338721.572684,-2950.03711872
Pixel 6,com-android-settings,3,4436.0,-664531.897874,-342935.477319,-342935.675523,-2947.85520573
Pixel 6,com-android-settings,4,4436.0,-665599.945405,-342491.533078,-342493.909687,-2952.57356703
Pixel 6,com-android-settings,5,4436.0,-660324.255463,-337136.857356,-337137.453492,-2929.167982
Pixel 6,com-android-settings,6,4436.0,-663658.325486,-332257.573432,-332253.780585,-2944.04058898
Pixel 6,com-android-settings,7,4436.0,-669152.4434,-357803.951037,-357806.241652,-2968.45870357
Pixel 6,com-android-settings,8,4436.0,-663268.066396,-345907.06156,-345913.175778,-2942.31411824
Pixel 6,com-android-settings,9,4436.0,-645124.430901,-357745.568715,-357744.482723,-2861.74866067
Pixel 6,com-android-settings,10,4436.0,-656547.559215,-351946.180488,-351948.319411,-2912.45492589
Pixel 6,com-android-settings,11,4436.0,-666272.931383,-336096.555769,-336101.373666,-2955.56831892
Pixel 6,com-android-settings,12,4436.0,-669922.217486,-355496.510644,-355493.828296,-2971.7616067
Pixel 6,com-android-settings,13,4436.0,-656456.803812,-347860.36332,-347859.564625,-2912.09401876
Pixel 6,com-android-settings,14,4436.0,-675304.613181,-342445.039289,-342441.20907,-2995.70858901
Pixel 6,com-android-settings,15,4436.0,-658207.565368,-365111.594223,-365110.622441,-2919.83065801
Pixel 6,com-android-settings,16,4436.0,-660521.545485,-352457.985327,-352457.192829,-2930.07347172
Pixel 6,com-android-settings,17,4436.0,-666433.129069,-351105.887984,-351107.714363,-2956.29263302
Pixel 6,com-android-settings,18,4436.0,-664332.901024,-340177.749608,-340176.858296,-2947.03213687
Pixel 6,com-android-settings,19,4436.0,-647148.193698,-353934.664828,-353931.071916,-2870.64871749
Pixel 6,com-android-settings,20,4436.0,-664788.643076,-359989.554629,-359988.206068,-2948.99597744
Pixel 6,com-android-settings,21,4436.0,-663922.647927,-340221.97531,-340223.450306,-2945.20464035
Pixel 6,com-android-settings,22,4436.0,-646719.091699,-332436.112343,-332437.074874,-2868.9430059
Pixel 6,com-android-settings,23,4436.0,-644831.690067,-339109.232123,-339107.532574,-2860.46750137
Pixel 6,com-android-settings,24,4436.0,-654482.473786,-332509.714959,-332514.586881,-2903.23049558
Pixel 6,com-android-settings,25,4436.0,-678616.138245,-344886.003673,-344884.371224,-3010.31185382
Pixel 6,com-android-settings,26,4436.0,-663123.271159,-363832.220086,-363829.748783,-2941.61183274
Pixel 6,com-android-settings,27,4436.0,-667632.120858,-339238.790165,-339239.774341,-2961.55165072
Pixel 6,com-android-settings,28,4436.0,-686468.64937,-357680.961173,-357677.692576,-3045.17284877
Pixel 6,com-android-settings,29,4436.0,-652085.905589,-348139.821857,-348142.882945,-2892.63748423
Pixel 6,com-android-settings,30,4436.0,-642407.795374,-352575.194191,-352574.218663,-2849.66036884
Pixel 6,com-android-settings,31,4436.0,-661632.150414,-366268.803305,-366265.742899,-2934.97635071
Pixel 6,com-android-settings,32,4436.0,-670160.741304,-384547.950211,-384548.56048,-2972.83821075
Pixel 6,com-android-settings,33,4436.0,-673334.541765,-338053.720941,-338053.011614,-2986.87119046
Pixel 6,com-android-settings,34,4436.0,-666365.611139,-348962.415659,-348964.840075,-2955.95968752
Pixel 6,com-android-settings,35,4436.0,-669993.109091,-345654.567146,-345653.117707,-2972.08218528
Pixel 6,com-android-settings,36,4436.0,-656036.678523,-343940.720779,-343938.925725,-2910.1879095
Pixel 6,com-android-settings,37,4436.0,-661030.420911,-342457.523721,-342454.153117,-2932.49084566
Pixel 6,com-android-settings,38,4436.0,-650338.434734,-325553.076795,-325552.779901,-2884.96067708
Pixel 6,com-android-settings,39,4436.0,-663421.668284,-331583.259986,-331580.353551,-2942.86432006
Pixel 6,com-android-settings,40,4436.0,-663931.087582,-363721.414448,-363722.234596,-2945.22603744
Pixel 6,com-android-settings,41,4436.0,-658233.546881,-359238.889116,-359240.44523,-2919.9791821
Pixel 6,com-android-settings,42,4436.0,-655462.820438,-351721.620667,-351722.725049,-2907.63650055
Pixel 6,com-android-settings,43,4436.0,-679700.838223,-380207.802034,-380210.526748,-3015.18211089
Pixel 6,com-android-settings,44,4436.0,-642610.040966,-340625.148994,-340623.145242,-2850.627276
Pixel 6,com-android-settings,45,4436.0,-660895.224194,-389386.662341,-389384.233291,-2931.67702009
Pixel 6,com-android-settings,46,4436.0,-654788.339161,-340515.538053,-340516.915447,-2904.66308667
Pixel 6,com-android-settings,47,4436.0,-659061.428192,-356195.061989,-356194.261236,-2923.6290262
Pixel 6,com-android-settings,48,4436.0,-661962.257769,-342394.172737,-342395.910515,-2936.49235606
Pixel 6,com-android-settings,49,4436.0,-647267.406785,-342664.768933,-342666.451714,-2871.3353078
