Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE
1759437949113,-454687,4246
1759437949217,-300781,4246
1759437949320,-300781,4246
1759437949425,-235156,4246
1759437949530,-235156,4246
1759437949636,-139843,4246
1759437949741,-139843,4246
1759437949845,-278125,4246
1759437949949,-258593,4246
1759437950053,-258593,4246
1759437950158,-332031,4246
1759437950262,-332031,4246
1759437950366,-376562,4246
1759437950470,-376562,4246
1759437950573,-165625,4246
1759437950679,-421875,4246
1759437950784,-421875,4246
1759437950890,-242968,4246
1759437950994,-242968,4246
1759437951099,-103906,4246
1759437951203,-103906,4246
1759437951309,-364062,4246
1759437951415,-216406,4246
1759437951521,-216406,4246
1759437951625,-391406,4246
1759437951729,-391406,4246
1759437951833,-287500,4246
1759437951936,-287500,4246
1759437952040,-239062,4246
1759437952146,-224218,4246
1759437952250,-224218,4246
1759437952354,-278906,4246
1759437952458,-278906,4246
1759437952563,-450781,4246
1759437952666,-450781,4246
1759437952772,-194531,4246
1759437952878,-216406,4246
1759437952985,-216406,4246
1759437953088,-150781,4246
1759437953192,-150781,4246
1759437953296,-271875,4246
1759437953399,-271875,4246
1759437953504,-300000,4246
1759437953615,-142187,4246
1759437953719,-142187,4246
1759437953823,-194531,4246
1759437953927,-194531,4246
1759437954032,-346093,4246
1759437954139,-346093,4246
1759437954246,-172656,4246
1759437954400,-285156,4246
1759437954503,-285156,4246
1759437954608,-245312,4246
1759437954715,-139062,4246
1759437954822,-139062,4246
1759437954927,-251562,4246
1759437955033,-251562,4246
1759437955140,-275781,4246
1759437955246,-190625,4246
1759437955352,-190625,4246
1759437955457,-226562,4246
1759437955566,-226562,4246
1759437955674,-274218,4246
1759437955780,-274218,4246
1759437955887,-560156,4246
1759437955991,-283593,4246
1759437956094,-283593,4246
1759437956199,-348437,4246
1759437956302,-348437,4246
1759437956406,-422656,4246
1759437956516,-422656,4246
1759437956622,-375000,4246
1759437956729,-207031,4246
1759437956832,-207031,4246
1759437956938,-354687,4246
1759437957044,-354687,4246
1759437957150,-128125,4246
1759437957254,-445312,4246
1759437957358,-445312,4246
1759437957464,-341406,4246
1759437957579,-341406,4246
1759437957685,-257812,4246
1759437957798,-257812,4246
1759437957904,-298437,4246
1759437958011,-134375,4246
1759437958117,-134375,4246
1759437958224,-224218,4246
1759437958329,-224218,4246
1759437958433,-318750,4246
1759437958537,-232031,4246
1759437958642,-232031,4246
1759437958746,-382812,4246
1759437958852,-382812,4246
1759437958960,-265625,4246
1759437959064,-265625,4246
1759437959170,-203125,4246
1759437959276,-156250,4246
1759437959385,-156250,4246
1759437959491,-300000,4246
1759437959599,-300000,4246
1759437959704,-179687,4246
1759437959813,-156250,4246
1759437959918,-156250,4246
1759437960022,-210156,4246
1759437960129,-210156,4246
1759437960235,-192187,4246
1759437960344,-192187,4246
1759437960453,-240625,4246
1759437960563,-282031,4246
1759437960669,-282031,4246
1759437960774,-216406,4246
1759437960880,-216406,4246
1759437960989,-264062,4246
1759437961093,-179687,4246
1759437961199,-179687,4246
1759437961304,-347656,4246
1759437961410,-347656,4246
1759437961515,-148437,4246
1759437961619,-148437,4246
1759437961724,-227343,4246
1759437961830,-127343,4246
1759437961937,-127343,4246
1759437962044,-242968,4246
1759437962149,-242968,4246
1759437962255,-152343,4246
1759437962361,-152343,4246
1759437962467,-155468,4246
1759437962574,-185937,4246
1759437962680,-185937,4246
1759437962788,-155468,4246
1759437962894,-155468,4246
1759437963001,-162500,4246
1759437963108,-351562,4246
1759437963213,-351562,4246
1759437963317,-163281,4246
1759437963423,-163281,4246
1759437963530,-269531,4246
1759437963634,-269531,4246
1759437963741,-344531,4246
1759437963847,-137500,4246
1759437963954,-137500,4246
1759437964061,-222656,4246
1759437964166,-222656,4246
1759437964272,-200781,4246
1759437964375,-200781,4246
1759437964479,-332031,4246
1759437964595,-182812,4246
1759437964703,-182812,4246
1759437964822,-136718,4246
1759437964933,-297656,4246
1759437965041,-297656,4246
1759437965146,-351562,4246
1759437965253,-351562,4246
1759437965359,-364062,4246
1759437965464,-364062,4246
1759437965570,-310156,4246
1759437965675,-207812,4246
1759437965782,-207812,4246
1759437965890,-178125,4246
1759437965996,-178125,4246
1759437966099,-254687,4246
1759437966208,-240625,4246
1759437966312,-240625,4246
1759437966420,-185937,4246
1759437966527,-185937,4246
1759437966631,-285156,4246
1759437966736,-285156,4246
1759437966842,-455468,4246
1759437966948,-320312,4246
1759437967055,-320312,4246
1759437967163,-333593,4246
1759437967269,-333593,4246
1759437967373,-206250,4246
1759437967481,-206250,4246
1759437967586,-124218,4246
1759437967691,-185937,4246
1759437967797,-185937,4246
1759437967903,-172656,4246
1759437968009,-172656,4246
1759437968112,-148437,4246
1759437968218,-97656,4246
1759437968321,-97656,4246
1759437968428,-189062,4246
1759437968535,-189062,4246
1759437968642,-240625,4246
1759437968748,-240625,4246
1759437968853,-235156,4246
1759437968960,-242187,4246
1759437969066,-242187,4246
1759437969170,-325000,4246
1759437969274,-325000,4246
1759437969380,-165625,4246
1759437969487,-165625,4246
1759437969594,-223437,4246
1759437969700,-262500,4246
1759437969804,-262500,4246
1759437969909,-117968,4246
1759437970012,-117968,4246
1759437970116,-211718,4246
1759437970222,-211718,4246
1759437970327,-165625,4246
1759437970435,-197656,4246
1759437970542,-197656,4246
1759437970645,-255468,4246
1759437970750,-255468,4246
1759437970856,-217187,4246
1759437970962,-195312,4246
1759437971069,-195312,4246
1759437971173,-203125,4246
1759437971279,-203125,4246
1759437971385,-278906,4246
1759437971492,-278906,4246
1759437971595,-200000,4246
1759437971704,-223437,4246
1759437971811,-223437,4246
1759437971917,-236718,4246
1759437972023,-236718,4246
1759437972129,-157031,4246
1759437972236,-248437,4246
1759437972340,-248437,4246
1759437972447,-204687,4246
1759437972555,-204687,4246
1759437972665,-153906,4246
1759437972774,-153906,4246
1759437972879,-162500,4246
1759437972986,-200000,4246
1759437973093,-200000,4246
1759437973199,-246093,4246
1759437973306,-246093,4246
1759437973410,-464062,4246
1759437973514,-233593,4246
1759437973619,-233593,4246
1759437973724,-315625,4246
1759437973830,-315625,4246
1759437973937,-192187,4246
1759437974041,-192187,4246
1759437974147,-285156,4246
1759437974252,-292968,4246
1759437974358,-292968,4246
1759437974463,-221093,4246
1759437974568,-221093,4246
1759437974674,-175781,4246
1759437974777,-175781,4246
1759437974883,-228906,4246
1759437974987,-207031,4246
1759437975092,-207031,4246
1759437975196,-282031,4246
1759437975299,-282031,4246
1759437975405,-274218,4246
1759437975511,-274218,4246
1759437975619,-200781,4246
1759437975723,-264062,4246
1759437975829,-264062,4246
1759437975935,-201562,4246
1759437976044,-201562,4246
1759437976148,-164843,4246
1759437976254,-128125,4246
1759437976360,-128125,4246
1759437976466,-133593,4246
1759437976572,-133593,4246
1759437976677,-227343,4246
1759437976783,-227343,4246
1759437976890,-239843,4246
1759437976996,-158593,4246
1759437977103,-158593,4246
1759437977207,-342968,4246
1759437977313,-342968,4246
1759437977419,-188281,4246
1759437977526,-188281,4246
1759437977635,-221093,4246
1759437977742,-222656,4246
1759437977848,-222656,4246
1759437977952,-207031,4246
1759437978057,-207031,4246
1759437978164,-292968,4246
1759437978271,-169531,4246
1759437978379,-169531,4246
1759437978485,-164843,4246
1759437978592,-164843,4246
1759437978701,-206250,4246
1759437978807,-206250,4246
1759437978917,-152343,4246
1759437979024,-200781,4246
1759437979128,-200781,4246
1759437979232,-198437,4246
1759437979339,-198437,4246
1759437979446,-251562,4246
1759437979550,-248437,4246
1759437979654,-248437,4246
1759437979761,-399218,4246
1759437979868,-399218,4246
1759437979975,-285156,4246
1759437980079,-285156,4246
1759437980184,-339062,4246
1759437980291,-384375,4246
1759437980399,-384375,4246
1759437980506,-165625,4246
1759437980613,-165625,4246
1759437980722,-243750,4246
1759437980830,-219531,4246
1759437980934,-219531,4246
1759437981040,-246875,4246
1759437981146,-246875,4246
1759437981253,-168750,4246
1759437981358,-168750,4246
1759437981465,-258593,4246
1759437981572,-300000,4246
1759437981676,-300000,4246
1759437981780,-166406,4246
1759437981886,-166406,4246
1759437981993,-235937,4246
1759437982100,-182031,4246
1759437982211,-182031,4246
1759437982318,-201562,4246
1759437982423,-201562,4246
1759437982528,-189062,4246
1759437982633,-189062,4246
1759437982737,-286718,4246
1759437982843,-214843,4246
1759437982950,-214843,4246
1759437983054,-258593,4246
1759437983157,-258593,4246
1759437983264,-280468,4246
1759437983371,-280468,4246
1759437983478,-194531,4246
1759437983581,-153125,4246
1759437983686,-153125,4246
1759437983792,-255468,4246
1759437983899,-255468,4246
1759437984006,-267187,4246
1759437984112,-204687,4246
1759437984219,-204687,4246
1759437984323,-208593,4246
1759437984431,-208593,4246
1759437984536,-300781,4246
1759437984642,-300781,4246
1759437984749,-146875,4246
1759437984853,-390625,4246
1759437984959,-390625,4246
1759437985064,-275781,4246
1759437985169,-275781,4246
1759437985275,-226562,4246
1759437985379,-226562,4246
1759437985485,-303906,4246
1759437985589,-288281,4246
1759437985697,-288281,4246
1759437985804,-246875,4246
1759437985910,-246875,4246
1759437986016,-164843,4246
1759437986124,-226562,4246
1759437986231,-226562,4246
1759437986337,-219531,4246
1759437986443,-219531,4246
1759437986549,-210156,4246
1759437986653,-210156,4246
1759437986759,-298437,4246
1759437986866,-139843,4246
1759437986972,-139843,4246
1759437987078,-187500,4246
1759437987182,-187500,4246
1759437987288,-278906,4246
1759437987393,-278906,4246
1759437987499,-252343,4246
1759437987609,-146875,4246
1759437987715,-146875,4246
1759437987822,-191406,4246
1759437987928,-191406,4246
1759437988035,-178906,4246
1759437988141,-200000,4246
1759437988247,-200000,4246
1759437988354,-204687,4246
1759437988459,-204687,4246
1759437988565,-267187,4246
1759437988671,-267187,4246
1759437988778,-165625,4246
1759437988885,-235156,4246
1759437988991,-235156,4246
1759437989096,-195312,4246
1759437989202,-195312,4246
1759437989307,-200000,4246
1759437989413,-253125,4246
1759437989523,-253125,4246
1759437989630,-344531,4246
1759437989736,-344531,4246
1759437989842,-272656,4246
1759437989948,-272656,4246
1759437990054,-242968,4246
1759437990161,-242968,4246
1759437990267,-242968,4246
1759437990373,-163281,4246
1759437990481,-163281,4246
1759437990588,-315625,4246
1759437990693,-262500,4246
1759437990802,-262500,4246
1759437990908,-210156,4246
1759437991011,-210156,4246
1759437991117,-267968,4246
1759437991223,-267968,4246
1759437991330,-174218,4246
1759437991437,-253125,4246
1759437991544,-253125,4246
1759437991647,-399218,4246
1759437991753,-399218,4246
1759437991859,-200781,4246
1759437991963,-200781,4246
1759437992070,-304687,4246
1759437992176,-264843,4246
1759437992281,-264843,4246
1759437992388,-207031,4246
1759437992494,-207031,4246
1759437992600,-228906,4246
1759437992707,-179687,4246
1759437992816,-179687,4246
1759437992922,-222656,4246
1759437993029,-222656,4246
1759437993135,-164843,4246
1759437993242,-164843,4246
1759437993349,-232812,4246
1759437993453,-203906,4246
1759437993559,-203906,4246
1759437993665,-268750,4246
1759437993771,-268750,4246
1759437993875,-347656,4246
1759437993981,-142968,4246
1759437994087,-142968,4246
1759437994193,-239062,4246
1759437994299,-239062,4246
1759437994406,-152343,4246
1759437994510,-152343,4246
1759437994614,-213281,4246
1759437994719,-338281,4246
1759437994825,-338281,4246
1759437994929,-235156,4246
1759437995035,-235156,4246
1759437995142,-242187,4246
1759437995248,-242187,4246
1759437995353,-203906,4246
1759437995457,-184375,4246
1759437995562,-184375,4246
1759437995668,-196875,4246
1759437995776,-196875,4246
1759437995882,-229687,4246
1759437995988,-184375,4246
1759437996092,-184375,4246
1759437996203,-203125,4246
1759437996310,-203125,4246
1759437996414,-239062,4246
1759437996520,-239062,4246
1759437996625,-236718,4246
1759437996732,-371875,4246
1759437996837,-371875,4246
1759437996946,-210156,4246
1759437997052,-210156,4246
1759437997156,-196875,4246
1759437997261,-196875,4246
1759437997367,-290625,4246
1759437997471,-206250,4246
1759437997581,-206250,4246
1759437997686,-233593,4246
1759437997792,-233593,4246
1759437997898,-447656,4246
1759437998005,-214062,4246
1759437998110,-214062,4246
1759437998215,-192187,4246
1759437998319,-192187,4246
1759437998425,-379687,4246
1759437998531,-379687,4246
1759437998638,-211718,4246
1759437998747,-217187,4246
1759437998854,-217187,4246
1759437998961,-160156,4246
1759437999067,-160156,4246
1759437999173,-175000,4246
1759437999278,-272656,4246
1759437999382,-272656,4246
1759437999488,-319531,4246
1759437999593,-319531,4246
1759437999701,-239843,4246
1759437999808,-239843,4246
1759437999913,-359375,4246
1759438000019,-214843,4246
1759438000126,-214843,4246
1759438000234,-289843,4246
1759438000341,-289843,4246
1759438000448,-185937,4246
1759438000556,-168750,4246
1759438000660,-168750,4246
1759438000766,-239062,4246
1759438000872,-239062,4246
1759438000977,-348437,4246
1759438001084,-348437,4246
1759438001190,-137500,4246
1759438001296,-167968,4246
1759438001400,-167968,4246
1759438001510,-232812,4246
1759438001618,-232812,4246
1759438001724,-192187,4246
1759438001829,-192187,4246
1759438001933,-251562,4246
1759438002040,-195312,4246
1759438002147,-195312,4246
1759438002254,-59375,4246
1759438002361,-59375,4246
1759438002466,-329687,4246
1759438002574,-214843,4246
1759438002681,-214843,4246
1759438002789,-313281,4246
1759438002901,-313281,4246
1759438003012,-204687,4246
