run Id,cpu_percent,execution_time_sec
0,97.8,225.468336
1,57.8,26.316194
2,66.2,22.903466
3,90.7,21.343773
4,74.7,238.398132
5,96.5,133.374342
6,59.6,32.856066
7,67.7,69.716907
8,79.9,207.300477
9,80.2,226.975814
10,56.7,16.856237
11,60.6,27.93063
12,88.7,231.343869
13,76.5,178.679492
14,66.6,233.492149
15,72.2,86.242632
16,71.6,147.173416
17,82.5,13.014163
18,56.3,29.884141
19,79.2,57.434474
20,95,201.38555
21,65.1,188.188233
22,80.7,57.978841
23,90.6,32.903177
24,66.4,205.783701
25,66,145.957749
26,74.5,54.960147
27,72.6,29.767994
28,91,155.891318
29,71.8,62.084819
30,88.2,120.36369
31,96.1,193.65735
32,77,117.041734
33,69.3,126.704359
34,82.8,200.741276
35,81.1,68.883514
36,70.1,174.130953
37,69.6,114.342664
38,96.9,151.019366
39,86.9,36.509874
40,77.9,45.256137
41,92.3,97.108371
42,94.2,53.658234
43,86,51.338487
44,91.1,12.783957
45,56.1,44.392768
46,66.7,73.575452
47,67.4,149.636912
48,95.2,153.267487
49,94.9,194.024493
50,85.3,94.188894
51,94.4,28.765192
52,84.8,99.53861
53,73.4,33.761475
54,59.5,58.66539
55,95.1,184.13749
56,82.5,34.967808
57,81.1,148.302396
58,65.4,159.690554
59,72.1,19.680805
