device,subject,run,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_NOW,Energy trapz (J),Energy simple (J),Avg power (W)
Pixel 6,com-android-settings,0,4436.0,-666273.758524,-362734.402131,-362739.024307,-2955.47604593
Pixel 6,com-android-settings,1,4436.0,-680471.388461,-342833.286328,-342831.866401,-3018.5158063
Pixel 6,com-android-settings,2,4436.0,-666682.06797,-329185.750941,-329187.250379,-2957.42992664
Pixel 6,com-android-settings,3,4436.0,-664555.310194,-346163.426433,-346163.768098,-2947.93197536
Pixel 6,com-android-settings,4,4436.0,-658112.785055,-355728.198522,-355728.068671,-2919.38006163
Pixel 6,com-android-settings,5,4436.0,-652034.477546,-322331.564305,-322334.072616,-2892.46147751
Pixel 6,com-android-settings,6,4436.0,-667101.961633,-374775.130408,-374770.984158,-2959.29078462
Pixel 6,com-android-settings,7,4436.0,-663357.602656,-365653.641897,-365655.228795,-2942.68412708
Pixel 6,com-android-settings,8,4436.0,-648291.801573,-328172.279275,-328174.014317,-2875.85496778
Pixel 6,com-android-settings,9,4436.0,-644607.340049,-359252.17555,-359255.313891,-2859.47728179
Pixel 6,com-android-settings,10,4436.0,-669101.209463,-363542.344993,-363542.453002,-2968.17613023
Pixel 6,com-android-settings,11,4436.0,-669051.02942,-375893.80125,-375895.106295,-2967.95312996
Pixel 6,com-android-settings,12,4436.0,-665993.604478,-364096.33793,-364095.91442,-2954.34445339
Pixel 6,com-android-settings,13,4436.0,-682974.015176,-333298.092885,-333300.08694,-3029.78489969
Pixel 6,com-android-settings,14,4436.0,-656268.155298,-354292.689273,-354294.994777,-2911.19244083
Pixel 6,com-android-settings,15,4436.0,-657627.75382,-354493.34741,-354494.192764,-2917.29318192
Pixel 6,com-android-settings,16,4436.0,-668419.187163,-340725.248837,-340721.762899,-2965.13561245
Pixel 6,com-android-settings,17,4436.0,-654330.610952,-353687.494332,-353687.714221,-2902.66231211
Pixel 6,com-android-settings,18,4436.0,-664899.703788,-339328.857554,-339330.809845,-2949.56249852
Pixel 6,com-android-settings,19,4436.0,-645960.971899,-360654.321288,-360653.450197,-2865.57625326
