run Id,cpu_percent,execution_time_sec
0,82.7,79.858808
1,73,200.120714
2,64,38.769487
3,63,90.33892
4,84.6,114.616312
5,72.4,139.166617
6,90.2,30.98518
7,75,113.138972
8,65.3,192.819032
9,62.4,41.177694
10,96.4,215.424517
11,88.9,14.076357
12,93.2,148.395426
13,90.5,204.25921
14,70.3,195.380021
15,85.7,48.65239
16,77.3,100.270725
17,88.4,112.440645
18,75.2,31.435045
19,90.7,48.911423
20,87.3,52.450509
21,71.5,55.372083
22,60.5,69.344299
23,91.2,281.579759
24,84.9,53.695265
25,90,156.499213
26,63.4,16.398155
27,97.8,108.98226
28,57.8,94.789038
29,81.5,22.428231
30,77.6,43.554905
31,78.1,24.932718
32,76.8,285.238814
33,67.9,86.627704
34,93.6,156.495749
35,76.6,36.857574
36,68.8,92.738754
37,87,132.539949
38,85.8,83.029687
39,68.7,203.172381
