run Id,cpu_percent,execution_time_sec
0,79.5,141.967787
1,84,257.904954
2,83.8,147.209418
3,93.6,375.707355
4,81.3,74.672403
5,77.8,300.120701
6,88.1,48.605208
7,90.9,78.675051
8,91.2,35.558069
9,93.2,92.479176
10,67.7,32.796738
11,58.6,66.914132
12,89.2,88.884075
13,66.3,27.407307
14,68.6,51.667005
15,90,124.030177
16,83.1,52.746571
17,73.3,273.783466
18,94.9,145.56027
19,93.3,240.118328
20,62.1,113.748151
21,68.1,85.614438
22,97.2,264.564098
23,65.2,165.026254
24,70,80.715291
25,86.2,127.423167
26,72.4,56.842997
27,59.7,30.014127
28,78.1,18.773939
29,92,107.120632
30,91.3,369.201496
31,55.6,112.473449
32,68.1,311.241897
33,70.7,108.664888
34,64.7,24.775791
35,72.8,211.111915
36,85.8,37.661208
37,66.2,350.328157
38,89.3,344.974661
39,71.5,54.061899
